pollster,startdate,enddate,source,samplesize,D_support,R_support,subpopulation,Rep_cand,Dem_cand,State_code,poll_URL,middate
Gravis,2018-10-22,2018-10-23,Real Clear Politics,773,49,45,Likely Voters,Scott,Nelson,fl,https://www.realclearpolitics.com/docs/Gravis_Florida_October_23_2018.pdf,2018-10-22
St. Pete Polls,2018-10-20,2018-10-21,Real Clear Politics,1575,48,49,Likely Voters,Scott,Nelson,fl,http://stpetepolls.org/files/StPetePolls_2018_State_GEN_GovSenate_October21_J83D.pdf,2018-10-20
Florida Atlantic University,2018-10-18,2018-10-21,Real Clear Politics,740,41,42,Likely Voters,Scott,Nelson,fl,https://business.fau.edu/departments/economics/business-economics-polling/bepi-polls/bepi-polls-2018/competitive-us-senate-and-governor-races-in-florida.php,2018-10-19
Bay News 9/SurveyUSA,2018-10-18,2018-10-21,Real Clear Politics,665,49,41,Likely Voters,Scott,Nelson,fl,http://www.surveyusa.com/client/PollReport.aspx?g=cfbb4f43-54d4-4d79-b06f-5bfd01c72a34,2018-10-19
Quinnipiac,2018-10-17,2018-10-21,Real Clear Politics,1161,52,46,Likely Voters,Scott,Nelson,fl,https://poll.qu.edu/florida/release-detail?ReleaseID=2581,2018-10-19
"Schroth Eldon
",2018-10-17,2018-10-20,electoral-vote,,45,47,,Scott,Nelson,FL,https://electoral-vote.com/evp2018/Info/datagalore.html,2018-10-18
CNN,2018-10-16,2018-10-20,Real Clear Politics,759,50,45,Likely Voters,Scott,Nelson,fl,http://cdn.cnn.com/cnn/2018/images/10/21/rel1_fl.pdf,2018-10-18
Indy Politics/Mason Strategies (R)*,2018-10-15,2018-10-20,Real Clear Politics,600,43,47,Likely Voters,Braun,Donnelly,in,https://www.realclearpolitics.com/docs/Indiana_Statewide_Survey.pdf,2018-10-17
"Ipsos
",2018-10-12,2018-10-19,electoral-vote,,41,47,,Heller,Rosen,NV,https://electoral-vote.com/evp2018/Info/datagalore.html,2018-10-15
"Rutgers-Eagleton
",2018-10-12,2018-10-19,electoral-vote,,51,46,,Hugin,Menendez,NJ,https://electoral-vote.com/evp2018/Info/datagalore.html,2018-10-15
NY Times/Siena,2018-10-15,2018-10-19,Real Clear Politics,606,46,48,Likely Voters,McSally,Sinema,az,https://www.nytimes.com/interactive/2018/upshot/elections-poll-azsen-3.html,2018-10-17
NBC Valley News,2018-10-12,2018-10-19,Real Clear Politics,650,40,56,Likely Voters,Cramer,Heitkamp,nd,https://www.valleynewslive.com/content/news/Poll-Cramer-widens-gap-over-Heitkamp-in-senate-race-to-16-points-498224261.html,2018-10-15
"Ipsos
",2018-10-12,2018-10-18,electoral-vote,,44,49,,Cruz,O'Rourke,TX,https://electoral-vote.com/evp2018/Info/datagalore.html,2018-10-15
Missouri Scout*,2018-10-17,2018-10-18,Real Clear Politics,1215,46,47,Likely Voters,Hawley,McCaskill,mo,https://static1.squarespace.com/static/59015f4b37c581b2ce01e5b3/t/5bcb2413b208fc5920b41578/1540039701680/MOScout+Weekly+Poll+-+10.19.18.pdf,2018-10-17
