,id,subgroup,sampleSize,population,grade,url,created_at,startDate,endDate,pollster,pollsterRatingLink,partisan_pollster,answers,type,seat_name,tracking,headToHead,sponsors,internal,inAvg,politician,cycle,partisan,state,district,dminusr,dem_cand,rep_cand
20592,151942,All polls,1215.0,rv,A/B,https://www.anselm.edu/sites/default/files/Documents/NHIOP/Polls/SACSC_NHSW_0122_%202_0.pdf,2022-01-19,2022-01-11,2022-01-12,Saint Anselm College,https://projects.fivethirtyeight.com/pollster-ratings/saint-anselm-college/,,"[{'choice': 'Hassan', 'pct': '43.0', 'party': 'Dem', 'incumbent': True}, {'choice': 'Bolduc', 'pct': '36.0', 'party': 'Rep', 'incumbent': False}]",senate,Class III,False,False,[],False,False,,2022.0,,New Hampshire,,7.0,Hassan,Bolduc
20660,152178,All polls,1702.0,rv,A-,https://poll.qu.edu/poll-release?releaseid=3833,2022-01-26,2022-01-19,2022-01-24,Quinnipiac University,https://projects.fivethirtyeight.com/pollster-ratings/quinnipiac-university/,,"[{'choice': 'Warnock', 'pct': '48.0', 'party': 'Dem', 'incumbent': True}, {'choice': 'Walker', 'pct': '49.0', 'party': 'Rep', 'incumbent': False}]",senate,Class III,False,False,[],False,False,,2022.0,,Georgia,,-1.0,Warnock,Walker
20674,152209,All polls,872.0,rv,B/C,https://www.ajc.com/politics/ajc-poll-bidens-approval-in-georgia-takes-a-nosedive/6KNWUXXWRZBQ7P7EC6GG26TXHU/,2022-01-27,2022-01-13,2022-01-24,University of Georgia School of Public and International Affairs,https://projects.fivethirtyeight.com/pollster-ratings/university-of-georgia-school-of-public-and-international-affairs/,,"[{'choice': 'Warnock', 'pct': '43.6', 'party': 'Dem', 'incumbent': True}, {'choice': 'Walker', 'pct': '47.1', 'party': 'Rep', 'incumbent': False}]",senate,Class III,False,False,"[{'sponsor': 'The Atlanta Journal-Constitution', 'partisan': None, 'internal': False, 'url': 'https://www.ajc.com/'}]",False,False,,2022.0,,Georgia,,-3.5,Warnock,Walker
20714,152294,All polls,500.0,lv,B+,https://www.suffolk.edu/news-features/news/2022/02/01/00/43/suffolk-university-usa-today-florida-poll,2022-02-01,2022-01-26,2022-01-29,Suffolk University,https://projects.fivethirtyeight.com/pollster-ratings/suffolk-university/,,"[{'choice': 'Demings', 'pct': '41.4', 'party': 'Dem', 'incumbent': False}, {'choice': 'Rubio', 'pct': '48.6', 'party': 'Rep', 'incumbent': True}]",senate,Class III,False,False,"[{'sponsor': 'USA Today', 'partisan': None, 'internal': False, 'url': 'https://www.usatoday.com/'}]",False,False,,2022.0,,Florida,,-7.200000000000003,Demings,Rubio
20732,152350,All polls,755.0,rv,B/C,https://thenevadaindependent.com/article/poll-cortez-masto-leads-laxalt-in-senate-race-but-biden-disapproval-foreboding,2022-02-02,2022-01-19,2022-01-26,OH Predictive Insights,https://projects.fivethirtyeight.com/pollster-ratings/oh-predictive-insights/,,"[{'choice': 'Cortez Masto', 'pct': '44.0', 'party': 'Dem', 'incumbent': True}, {'choice': 'Laxalt', 'pct': '35.0', 'party': 'Rep', 'incumbent': False}]",senate,Class III,False,False,"[{'sponsor': 'The Nevada Independent', 'partisan': None, 'internal': False, 'url': 'https://thenevadaindependent.com/'}]",False,False,,2022.0,,Nevada,,9.0,Cortez Masto,Laxalt
20823,152701,All polls,625.0,rv,A-,https://floridapolitics.com/archives/497213-mason-dixon-poll-gives-marco-rubio-the-edge-against-val-demings-in-senate-contest/,2022-02-16,2022-02-07,2022-02-10,Mason-Dixon Polling & Strategy,https://projects.fivethirtyeight.com/pollster-ratings/mason-dixon-polling-strategy/,,"[{'choice': 'Demings', 'pct': '42.0', 'party': 'Dem', 'incumbent': False}, {'choice': 'Rubio', 'pct': '49.0', 'party': 'Rep', 'incumbent': True}]",senate,Class III,False,False,[],False,True,,2022.0,,Florida,,-7.0,Demings,Rubio
20862,152865,All polls,685.0,rv,A/B,https://www.unf.edu/uploadedFiles/aa/coas/porl/UNF%20PORL%20Political%20Press%20Release%202-24-22.pdf,2022-02-24,2022-02-07,2022-02-20,University of North Florida,https://projects.fivethirtyeight.com/pollster-ratings/university-of-north-florida/,,"[{'choice': 'Demings', 'pct': '34.0', 'party': 'Dem', 'incumbent': False}, {'choice': 'Rubio', 'pct': '46.0', 'party': 'Rep', 'incumbent': True}]",senate,Class III,False,False,[],False,True,,2022.0,,Florida,,-12.0,Demings,Rubio
20902,152977,All polls,1290.0,lv,A/B,https://wick.io/truth-about-swing-voters/,2022-02-25,2022-02-02,2022-02-06,Wick,https://projects.fivethirtyeight.com/pollster-ratings/wick/,,"[{'choice': 'Warnock', 'pct': '45.6', 'party': 'Dem', 'incumbent': True}, {'choice': 'Walker', 'pct': '46.5', 'party': 'Rep', 'incumbent': False}]",senate,Class III,False,False,[],False,True,,2022.0,,Georgia,,-0.8999999999999986,Warnock,Walker
20933,153024,All polls,739.0,rv,B/C,https://blog.ohpredictive.com/press-releases/mike-lee-breaks-fifty-percent-threshold-in-gop-primary-competition,2022-02-28,2022-02-07,2022-02-14,OH Predictive Insights,https://projects.fivethirtyeight.com/pollster-ratings/oh-predictive-insights/,,"[{'choice': 'Weston', 'pct': '12.0', 'party': 'Dem', 'incumbent': False}, {'choice': 'Lee', 'pct': '34.0', 'party': 'Rep', 'incumbent': True}, {'choice': 'McMullin', 'pct': '24.0', 'party': 'Ind', 'incumbent': False}]",senate,Class III,False,False,[],False,False,,2022.0,,Utah,,2.0,McMullin,Lee
20934,153025,All polls,739.0,rv,B/C,https://blog.ohpredictive.com/press-releases/mike-lee-breaks-fifty-percent-threshold-in-gop-primary-competition,2022-02-28,2022-02-07,2022-02-14,OH Predictive Insights,https://projects.fivethirtyeight.com/pollster-ratings/oh-predictive-insights/,,"[{'choice': 'Schmidt', 'pct': '11.0', 'party': 'Dem', 'incumbent': False}, {'choice': 'Lee', 'pct': '36.0', 'party': 'Rep', 'incumbent': True}, {'choice': 'McMullin', 'pct': '23.0', 'party': 'Ind', 'incumbent': False}]",senate,Class III,False,False,[],False,False,,2022.0,,Utah,,-2.0,McMullin,Lee
20998,153501,All polls,662.0,lv,,https://blueprintpolling.com/wp-content/uploads/2022/03/BPP-Georgia.pdf,2022-03-08,2022-03-02,2022-03-08,Blueprint Polling,,,"[{'choice': 'Warnock', 'pct': '45.4', 'party': 'Dem', 'incumbent': True}, {'choice': 'Walker', 'pct': '48.5', 'party': 'Rep', 'incumbent': False}]",senate,Class III,False,False,[],False,True,,2022.0,,Georgia,,-3.1000000000000014,Warnock,Walker
21139,154152,All polls,671.0,lv,,https://blueprintpolling.com/2022/03/25/hispanic-voters-wary-of-biden-in-nv-survey/,2022-03-26,2022-03-21,2022-03-24,Blueprint Polling,,,"[{'choice': 'Cortez Masto', 'pct': '40.3', 'party': 'Dem', 'incumbent': True}, {'choice': 'Laxalt', 'pct': '46.9', 'party': 'Rep', 'incumbent': False}]",senate,Class III,False,False,[],False,True,,2022.0,,Nevada,,-6.600000000000001,Cortez Masto,Laxalt
21176,154256,All polls,500.0,lv,C/D,https://polls.saintleo.edu/wp-content/uploads/2022/03/SLU-Poll-Report-2022-2.pdf,2022-03-30,2022-02-28,2022-03-12,Saint Leo University,https://projects.fivethirtyeight.com/pollster-ratings/saint-leo-university/,,"[{'choice': 'Demings', 'pct': '27.4', 'party': 'Dem', 'incumbent': False}, {'choice': 'Rubio', 'pct': '45.0', 'party': 'Rep', 'incumbent': True}]",senate,Class III,False,False,[],False,True,,2022.0,,Florida,,-17.6,Demings,Rubio
21197,154332,All polls,804.0,rv,B,https://www.deseret.com/utah/2022/3/30/22996962/republican-mike-lee-against-independent-evan-mcullin-democrat-kael-weston-senate-race-utah-poll,2022-03-31,2022-03-09,2022-03-21,Dan Jones & Associates,https://projects.fivethirtyeight.com/pollster-ratings/dan-jones-associates/,,"[{'choice': 'Weston', 'pct': '11.0', 'party': 'Dem', 'incumbent': False}, {'choice': 'Lee', 'pct': '43.0', 'party': 'Rep', 'incumbent': True}, {'choice': 'McMullin', 'pct': '19.0', 'party': 'Ind', 'incumbent': False}]",senate,Class III,False,False,"[{'sponsor': 'Deseret News', 'partisan': None, 'internal': False, 'url': 'https://www.deseret.com/'}, {'sponsor': 'University of Utah Hinckley Institute of Politics', 'partisan': None, 'internal': False, 'url': 'https://www.hinckley.utah.edu/'}]",False,False,,2022.0,,Utah,,-13.0,McMullin,Lee
21201,154347,All polls,1265.0,rv,A/B,https://www.anselm.edu/new-hampshire-institute-politics/new-poll-saint-anselm-college-survey-center-shows-competitive-2022,2022-04-01,2022-03-23,2022-03-24,Saint Anselm College,https://projects.fivethirtyeight.com/pollster-ratings/saint-anselm-college/,,"[{'choice': 'Hassan', 'pct': '44.0', 'party': 'Dem', 'incumbent': True}, {'choice': 'Bolduc', 'pct': '39.0', 'party': 'Rep', 'incumbent': False}]",senate,Class III,False,False,[],False,False,,2022.0,,New Hampshire,,5.0,Hassan,Bolduc
21222,154403,All polls,513.0,lv,B+,https://www.cygn.al/poll-republicans-hold-generic-ballot-as-economic-and-inflation-concerns-grow/,2022-04-05,2022-03-30,2022-03-31,Cygnal,https://projects.fivethirtyeight.com/pollster-ratings/cygnal/,,"[{'choice': 'Beasley', 'pct': '43.1', 'party': 'Dem', 'incumbent': False}, {'choice': 'Budd', 'pct': '44.6', 'party': 'Rep', 'incumbent': False}]",senate,Class III,False,False,[],False,True,,2022.0,,North Carolina,,-1.5,Beasley,Budd
21223,154404,All polls,1047.0,lv,A-,https://emersonpolling.reportablenews.com/pr/north-carolina-2022-poll-ted-budd-holds-16-point-lead-in-republican-primary-for-u-s-senate-leads-potential-matchup-against-democrat-cheri-beasley,2022-04-05,2022-04-02,2022-04-04,Emerson College,https://projects.fivethirtyeight.com/pollster-ratings/emerson-college/,,"[{'choice': 'Beasley', 'pct': '42.8', 'party': 'Dem', 'incumbent': False}, {'choice': 'Budd', 'pct': '49.6', 'party': 'Rep', 'incumbent': False}]",senate,Class III,False,False,"[{'sponsor': 'The Hill', 'partisan': None, 'internal': False, 'url': 'https://thehill.com/'}]",False,True,,2022.0,,North Carolina,,-6.800000000000004,Beasley,Budd
21226,154407,All polls,1047.0,lv,A-,https://emersonpolling.reportablenews.com/pr/north-carolina-2022-poll-ted-budd-holds-16-point-lead-in-republican-primary-for-u-s-senate-leads-potential-matchup-against-democrat-cheri-beasley,2022-04-05,2022-04-02,2022-04-04,Emerson College,https://projects.fivethirtyeight.com/pollster-ratings/emerson-college/,,"[{'choice': 'Beasley', 'pct': '42.0', 'party': 'Dem', 'incumbent': False}, {'choice': 'Walker', 'pct': '47.1', 'party': 'Rep', 'incumbent': False}]",senate,Class III,False,False,"[{'sponsor': 'The Hill', 'partisan': None, 'internal': False, 'url': 'https://thehill.com/'}]",False,False,,2022.0,,North Carolina,,-5.100000000000001,Beasley,Walker
21241,154459,All polls,1013.0,lv,A-,https://emersonpolling.reportablenews.com/pr/georgia-2022-poll-herschel-walker-leads-senator-warnock-49-to-45,2022-04-06,2022-04-01,2022-04-03,Emerson College,https://projects.fivethirtyeight.com/pollster-ratings/emerson-college/,,"[{'choice': 'Warnock', 'pct': '45.2', 'party': 'Dem', 'incumbent': True}, {'choice': 'Walker', 'pct': '49.1', 'party': 'Rep', 'incumbent': False}]",senate,Class III,False,False,"[{'sponsor': 'The Hill', 'partisan': None, 'internal': False, 'url': 'https://thehill.com/'}]",False,True,,2022.0,,Georgia,,-3.8999999999999986,Warnock,Walker
21261,154522,All polls,533.0,a,,https://andoverpoll.com/2022/04/11/new-hampshire-2022-sununu-polling-at-72-5-hassan-leading-republican-opponents/,2022-04-11,2022-04-04,2022-04-08,Phillips Academy,,,"[{'choice': 'Hassan', 'pct': '45.4', 'party': 'Dem', 'incumbent': True}, {'choice': 'Bolduc', 'pct': '39.5', 'party': 'Rep', 'incumbent': False}]",senate,Class III,False,False,"[{'sponsor': 'Abbot Academy Fund', 'partisan': None, 'internal': False, 'url': 'https://www.andover.edu/alumni/alumni-connect/abbot-academy/abbot-academy-fund'}]",False,False,,2022.0,,New Hampshire,,5.899999999999999,Hassan,Bolduc
21262,154523,All polls,471.0,rv,,https://andoverpoll.com/2022/04/11/new-hampshire-2022-sununu-polling-at-72-5-hassan-leading-republican-opponents/,2022-04-11,2022-04-04,2022-04-08,Phillips Academy,,,"[{'choice': 'Hassan', 'pct': '54.1', 'party': 'Dem', 'incumbent': True}, {'choice': 'Bolduc', 'pct': '39.2', 'party': 'Rep', 'incumbent': False}]",senate,Class III,False,False,"[{'sponsor': 'Abbot Academy Fund', 'partisan': None, 'internal': False, 'url': 'https://www.andover.edu/alumni/alumni-connect/abbot-academy/abbot-academy-fund'}]",False,False,,2022.0,,New Hampshire,,14.899999999999999,Hassan,Bolduc
21275,154562,All polls,500.0,lv,B+,https://www.suffolk.edu/-/media/suffolk/documents/academics/research-at-suffolk/suprc/polls/other-states/2022/04_12_2022_complete_marginals.pdf?la=en&hash=664826247F9A90E494EF38057E069F7DCEBC0108,2022-04-12,2022-04-02,2022-04-06,Suffolk University,https://projects.fivethirtyeight.com/pollster-ratings/suffolk-university/,,"[{'choice': 'Cortez Masto', 'pct': '40.0', 'party': 'Dem', 'incumbent': True}, {'choice': 'Laxalt', 'pct': '43.4', 'party': 'Rep', 'incumbent': False}]",senate,Class III,False,False,"[{'sponsor': 'Reno Gazette-Journal', 'partisan': None, 'internal': False, 'url': 'https://www.rgj.com/'}]",False,True,,2022.0,,Nevada,,-3.3999999999999986,Cortez Masto,Laxalt
