,index,state,state_fips,district,district_num,incumbent,flip,favored,confidence,nom_R,nom_D,nom_I,totalvotes,imputedvotes,MARGIN,VOTER_POWER,NORMALIZED,,,,MAX
67,3443,TX,48,TX-HD-112,112,R,FALSE,FALSE,Toss-Up,Angie Chen Button,Brandy Chambers,FALSE,53142,FALSE,0,4.33E-06,100.00,,,,4.33E-06
54,3423,TX,48,TX-HD-92,92,FALSE,FALSE,R,Tilt,Jeff Cason,Jeff Whitfield,FALSE,59726,FALSE,-0.035,4.29E-06,99.10,,,,
31,3385,TX,48,TX-HD-54,54,D,FALSE,R,Lean,Brad Buckley,Likeithia Williams,FALSE,48394,FALSE,-0.075,4.14E-06,95.76,,,,
57,3427,TX,48,TX-HD-96,96,FALSE,FALSE,FALSE,Toss-Up,David Cook,Joe Drago,FALSE,64314,FALSE,0,3.57E-06,82.63,,,,
13,3357,TX,48,TX-HD-26,26,FALSE,FALSE,FALSE,Toss-Up,TBA,TBA,FALSE,65834,FALSE,0,3.49E-06,80.72,,,,
83,3463,TX,48,TX-HD-132,132,D,FALSE,FALSE,Toss-Up,Mike Schofield,Gina Calanni,FALSE,66675,FALSE,0,3.45E-06,79.70,,,,
40,3397,TX,48,TX-HD-66,66,R,FALSE,FALSE,Toss-Up,Matt Shaheen,Sharon Hirsch,FALSE,68373,FALSE,0,3.36E-06,77.72,,,,
88,3469,TX,48,TX-HD-138,138,FALSE,TRUE,D,Tilt,Lacey Hull,TBA,FALSE,48417,FALSE,0.035,3.27E-06,75.65,,,,
41,3398,TX,48,TX-HD-67,67,R,FALSE,FALSE,Toss-Up,Jeff Leach,TBA,FALSE,72864,FALSE,0,3.15E-06,72.93,,,,
65,3439,TX,48,TX-HD-108,108,R,FALSE,FALSE,Toss-Up,Morgan Meyer,Joanna Cattanach,FALSE,78634,FALSE,0,2.92E-06,67.58,,,,
76,3452,TX,48,TX-HD-121,121,R,FALSE,R,Lean,Steve Allison,Celina Montoya,FALSE,73051,FALSE,-0.075,2.74E-06,63.44,,,,
85,3465,TX,48,TX-HD-134,134,R,FALSE,R,Lean,Sarah Davis,Ann Johnson,FALSE,88914,FALSE,-0.075,2.25E-06,52.12,,,,
23,3376,TX,48,TX-HD-45,45,D,FALSE,D,Tilt,TBA,Erin Zwiener,FALSE,83732,FALSE,0.035,1.89E-06,43.74,,,,
78,3457,TX,48,TX-HD-126,126,R,FALSE,R,Likely,H. Sam Harless,Natali Hurtado,Pete Salas,55434,FALSE,-0.125,1.88E-06,43.43,,,,
50,3416,TX,48,TX-HD-85,85,D,FALSE,R,Likely,Phil Stephenson,Joey Cardenas III,FALSE,56687,FALSE,-0.125,1.84E-06,42.47,,,,
55,3424,TX,48,TX-HD-93,93,R,FALSE,R,Likely,Matt Krause,Lydia Bean,FALSE,57323,FALSE,-0.125,1.82E-06,42.00,,,,
18,3363,TX,48,TX-HD-32,32,R,FALSE,R,Likely,Todd Hunter,Eric Holguin,FALSE,58449,TRUE,-0.125,1.78E-06,41.19,,,,
