state,district,favored,confidence,rep_nominee,dem_nominee,incumbent,third_party_cand,third_party,redistricting_voter_power,anti_gerrymandering_party,geoid,chamber,district_link,dem_cand_link,rep_cand_link,third_cand_link
CT,CT-HD-119,R,Lean,Kathy Kennedy,Bryan Anderson,R,,,30.182812490579007,R,09119,HD,https://ballotpedia.org/Connecticut_House_of_Representatives_District_119,https://www.bryan4us2020.com/,https://www.kennedyfor119th.com/,
CT,CT-HD-90,R,Lean,Craig Fishbein,Jim Jinks,R,,,30.121131363315712,R,09090,HD,https://ballotpedia.org/Connecticut_House_of_Representatives_District_90,https://www.vote4jinks.com/,https://www.fishbein4ct.com/,
CT,CT-HD-34,R,Lean,Irene Haines,Judd Melon,R,,,29.85764502300229,R,09034,HD,https://ballotpedia.org/Connecticut_House_of_Representatives_District_34,https://juddfor34.com/,https://ballotpedia.org/Irene_Haines,
CT,CT-HD-74,R,Lean,Stephanie Cummings,Michael DiGiovancarlo,R,,,29.60989550987923,R,09074,HD,https://ballotpedia.org/Connecticut_House_of_Representatives_District_74,https://ballotpedia.org/Michael_DiGiovancarlo,https://votecummings.com/,
CT,CT-HD-51,R,Lean,Ricky Hayes,Arthur Fairthorne,R,,,28.804664371461474,R,09051,HD,https://ballotpedia.org/Connecticut_House_of_Representatives_District_51,https://ballotpedia.org/Arthur_Fairthorne,https://ballotpedia.org/Ricky_Hayes_(Connecticut),
CT,CT-HD-37,R,Tilt,Holly Cheeseman,Cate Steel,R,,,28.79580110097496,R,09037,HD,https://ballotpedia.org/Connecticut_House_of_Representatives_District_37,https://www.catesteel.com/,https://ballotpedia.org/Holly_Cheeseman,
CT,CT-HD-99,R,Tilt,Joseph Zullo,David Yaccarino Jr.,R,,,28.154751496807418,R,09099,HD,https://ballotpedia.org/Connecticut_House_of_Representatives_District_99,https://ballotpedia.org/David_Yaccarino_Jr.,https://www.joezullo.com/,
CT,CT-HD-38,R,Tilt,Kathleen McCarty,Baird Welch-Collins,R,,,28.120805773787634,R,09038,HD,https://ballotpedia.org/Connecticut_House_of_Representatives_District_38,https://www.bairdfor38.com/,https://ballotpedia.org/Kathleen_M._McCarty,
CT,CT-HD-23,R,Lean,Devin Carney,David Rubino,R,,,26.374741487944146,R,09023,HD,https://ballotpedia.org/Connecticut_House_of_Representatives_District_23,https://www.rubino2020.com/,https://ballotpedia.org/Devin_R._Carney,
CT,CT-HD-30,FALSE,Toss-Up,Donna Veach,JoAnn Angelico-Stetson,Open,,,26.024250390405957,R,09030,HD,https://ballotpedia.org/Connecticut_House_of_Representatives_District_30,https://www.joann2020.com/,https://www.veach2020.com/,
