state,district,favored,confidence,rep_nominee,dem_nominee,incumbent,third_party_cand,third_party,redistricting_voter_power,anti_gerrymandering_party,geoid,chamber,district_link,dem_cand_link,rep_cand_link,third_cand_link
FL,FL-HD-120,R,Lean,,Clint Barras,R,,,32.67839592892502,D,12120,HD,https://ballotpedia.org/Florida_House_of_Representatives_District_120,https://clintforflorida.com/,,
FL,FL-HD-83,R,Lean,Toby Overdorf,Edgar Bernier,R,,,28.624444538235675,D,12083,HD,https://ballotpedia.org/Florida_House_of_Representatives_District_83,https://ejbernier.com/,http://tobyforhouse.com/,
FL,FL-HD-15,R,Tilt,Wyman Duggan,Tammyette Thomas,R,,,28.059365823952536,D,12015,HD,https://ballotpedia.org/Florida_House_of_Representatives_District_15,http://tthomasflhouse.com/,http://wymanduggan.com/,
FL,FL-HD-93,R,Tilt,Chip LaMarca,Linda Thompson Gonzalez,R,,,27.71936594454125,D,12093,HD,https://ballotpedia.org/Florida_House_of_Representatives_District_93,https://www.lindathompsongonzalez.com/,https://www.chiplamarca.com/,
FL,FL-HD-60,R,Tilt,Jackie Toledo,Julie Jenkins,R,,,26.93270546809524,D,12060,HD,https://ballotpedia.org/Florida_House_of_Representatives_District_60,https://votejuliejenkins.com/,https://www.jackietoledo.com/,
FL,FL-HD-28,R,Tilt,David Smith,,R,Michael Riccio,Independent,26.673801498917722,D,12028,HD,https://ballotpedia.org/Florida_House_of_Representatives_District_28,,https://www.electsmith28.com/,https://votemikericcio.org/
FL,FL-HD-29,R,Tilt,Scott Plakon,Tracey Kagan,R,Juan Rodriguez,Independent,26.368651757881977,D,12029,HD,https://ballotpedia.org/Florida_House_of_Representatives_District_29,https://www.kaganforflorida.com/,https://scottplakon.com/,https://npa-fld29.com/
FL,FL-HD-21,FALSE,Toss-Up,Chuck Clemons,Kayser Enneking,R,,,25.833056984196848,D,12021,HD,https://ballotpedia.org/Florida_House_of_Representatives_District_21,https://www.ennekingforflorida.com/,http://chuckclemons.com/,
FL,FL-HD-58,R,Likely,Lawrence McClure,Cleo Townsend Jr.,R,,,25.714156512092035,D,12058,HD,https://ballotpedia.org/Florida_House_of_Representatives_District_58,https://www.cltownsendforflorida.com,https://www.electmcclure.com/,
FL,FL-HD-42,R,Lean,Fred Hawkins,Barbara Ann Cady,R,Leroy Sanchez,Independent,25.45905108740873,D,12042,HD,https://ballotpedia.org/Florida_House_of_Representatives_District_42,https://www.cady4house42.com/,https://www.hawkins4florida.com/,https://ballotpedia.org/Leroy_Sanchez
FL,FL-HD-115,FALSE,Toss-Up,Vance Aloupis,Franccesca Cesti-Browne,R,,,25.448077514425428,D,12115,HD,https://ballotpedia.org/Florida_House_of_Representatives_District_115,https://franccescaforflorida.com/,http://vancealoupis.com/,
FL,FL-HD-89,FALSE,Toss-Up,Mike Caruso,Jim Bonfiglio,R,,,24.546013638583567,D,12089,HD,https://ballotpedia.org/Florida_House_of_Representatives_District_89,https://jimbonfigliofordistrict89.com/,https://electmikecaruso.com/,
FL,FL-HD-119,R,Likely,Juan Fernandez-Barquin,Imtiaz Ahmad Mohammad,R,,,24.466364792919038,D,12119,HD,https://ballotpedia.org/Florida_House_of_Representatives_District_119,https://mohammadforcongress.com/,http://votebarquin.com/,
