state,district,favored,confidence,rep_nominee,dem_nominee,incumbent,third_party_cand,third_party,redistricting_voter_power,anti_gerrymandering_party,geoid,chamber,district_link,dem_cand_link,rep_cand_link,third_cand_link
KS,KS-HD-98,FALSE,Toss-Up,Ron Howard,Steven Crum,R,,,55.70469029803501,D,20098,HD,https://ballotpedia.org/Kansas_House_of_Representatives_District_98,http://crumforkansas.com/index.html,https://ballotpedia.org/Ron_Howard,
KS,KS-HD-48,FALSE,Toss-Up,Terry Frederick,Jennifer Day,D,,,55.643310642556976,D,20048,HD,https://ballotpedia.org/Kansas_House_of_Representatives_District_48,http://jendayforkansas.com/,http://terryfrederickforkansas.com/,
KS,KS-HD-72,D,Tilt,Avery Anderson,Tim Hodge,D,,,53.03081644588884,D,20072,HD,https://ballotpedia.org/Kansas_House_of_Representatives_District_72,https://timhodgeks.com/,https://andersonforks.com/,
KS,KS-HD-40,FALSE,Toss-Up,David French,Joana Scholtz,R,,,49.05820214286145,D,20040,HD,https://ballotpedia.org/Kansas_House_of_Representatives_District_40,https://www.joanascholtzforkansas.com/,https://ballotpedia.org/David_French_(Kansas),
KS,KS-HD-15,R,Tilt,John Toplikar,Cole Fine,R,,,48.833665957203074,D,20015,HD,https://ballotpedia.org/Kansas_House_of_Representatives_District_15,https://www.fineforkansas.com/,https://ballotpedia.org/John_Toplikar,
KS,KS-HD-14,FALSE,Toss-Up,Charlotte Esau,Angela Justus Schweller,R,,,48.280284348187855,D,20014,HD,https://ballotpedia.org/Kansas_House_of_Representatives_District_14,http://angela4ks.com/index.html,https://charlotteesau.com/,
KS,KS-HD-102,D,Tilt,John Whitesel,Jason Probst,D,,,47.14596660898508,D,20102,HD,https://ballotpedia.org/Kansas_House_of_Representatives_District_102,https://probstforprogress.com/,http://johnforkansas.com/,
KS,KS-HD-17,FALSE,Toss-Up,Kristine Sapp,Jo Ella Hoye,Open,Michael Kerner,L,41.54582672607671,D,20017,HD,https://ballotpedia.org/Kansas_House_of_Representatives_District_17,https://joellaforkansas.com/,https://www.kristineforkansas.com/,https://ballotpedia.org/Michael_Kerner
KS,KS-HD-18,D,Lean,Cathy Gordon,Cindy Neighbor,D,,,36.60404092780957,D,20018,HD,https://ballotpedia.org/Kansas_House_of_Representatives_District_18,https://www.cindyneighbor.com/,http://cathyforksstaterep.com/,
KS,KS-HD-96,D,Lean,Tom Kessler,Stephanie Yeager,D,,,34.73383056079782,D,20096,HD,https://ballotpedia.org/Kansas_House_of_Representatives_District_96,https://www.yeagerforkansas.com/,https://tomkessler4kansas.com/index.php,
KS,KS-HD-16,D,Likely,Rashard Young,Linda Featherston,Open,,,32.8624746010021,D,20016,HD,https://ballotpedia.org/Kansas_House_of_Representatives_District_16,https://www.linda4kansas.com/,https://www.rashardyoung.com/,
KS,KS-HD-2,R,Lean,Kenneth Collins,Lynn Grant,R,,,31.806057171109362,D,20002,HD,https://ballotpedia.org/Kansas_House_of_Representatives_District_2,http://www.grantforkansans.com/,https://www.kenforkansas.net/,
KS,KS-HD-23,D,Likely,Jeff Shull,Susan Ruiz,D,Matthew Clark,L,31.751008423121682,D,20023,HD,https://ballotpedia.org/Kansas_House_of_Representatives_District_23,https://susanruizks.com/,https://ballotpedia.org/Jeff_Shull,https://www.mattclarkkansas.com/
KS,KS-HD-3,D,Lean,Chuck Smith,Monica Murnan,D,,,31.47347349761536,D,20003,HD,https://ballotpedia.org/Kansas_House_of_Representatives_District_3,https://www.monicaforkansas.com/,https://ballotpedia.org/Chuck_Smith_(Kansas),
KS,KS-HD-79,R,Lean,Cheryl Helmer,Ken White,R,,,30.410001627947647,D,20079,HD,https://ballotpedia.org/Kansas_House_of_Representatives_District_79,https://www.kenwhite4ks.com/,https://ballotpedia.org/Cheryl_Helmer,
KS,KS-HD-41,D,Lean,Pat Proctor,,Open,,,30.354711702531763,D,20041,HD,https://ballotpedia.org/Kansas_House_of_Representatives_District_41,,http://PatProctor4KS.com,
KS,KS-HD-49,R,Lean,Megan Lynn,Katie Dixon,R,,,29.194286506725838,D,20049,HD,https://ballotpedia.org/Kansas_House_of_Representatives_District_49,https://www.katieforkansas.com/,http://www.meganlynnforkansas.com,
KS,KS-HD-39,R,Lean,Owen Donohoe,Les Lampe,R,,,28.219748813708527,D,20039,HD,https://ballotpedia.org/Kansas_House_of_Representatives_District_39,https://www.lampe4kansas.com,https://www.repdonohoe.com,
KS,KS-HD-111,R,Lean,Barbara Wasinger,Eber Phelps,R,,,25.054475951595688,D,20111,HD,https://ballotpedia.org/Kansas_House_of_Representatives_District_111,https://ballotpedia.org/Eber_Phelps,https://barbforkansas.com/,
KS,KS-HD-26,R,Lean,Adam Thomas,W. Michael Shimeall,R,,,23.774426751400338,D,20026,HD,https://ballotpedia.org/Kansas_House_of_Representatives_District_26,https://www.shimeall4kansas.com/,http://www.adamthomasforkansas.com/,
KS,KS-HD-69,R,Tilt,Clarke Sanders,Ryan Holmquist,Open,,,22.406588967338546,D,20069,HD,https://ballotpedia.org/Kansas_House_of_Representatives_District_69,https://www.holmquistforkansas.com/,https://ballotpedia.org/Clarke_Sanders,
KS,KS-HD-56,D,Likely,Tim Clothier,Virgil Weigel,D,,,21.824688127438158,D,20056,HD,https://ballotpedia.org/Kansas_House_of_Representatives_District_56,http://www.virgilweigelforkshouse.com/,https://www.clothierforkansas.com/,
KS,KS-HD-85,R,Lean,Patrick Penn,Marcey Gregory,Open,,,21.626681458882267,D,20085,HD,https://ballotpedia.org/Kansas_House_of_Representatives_District_85,https://ballotpedia.org/Marcey_Gregory,https://ballotpedia.org/Patrick_Penn,
KS,KS-HD-30,D,Likely,Laura Williams,Brandon Woodard,D,,,19.840099365100418,D,20030,HD,https://ballotpedia.org/Kansas_House_of_Representatives_District_30,http://www.woodardforkansas.com/,https://laurawilliamsforkansas.com/,
