state,district,favored,confidence,rep_nominee,dem_nominee,incumbent,third_party_cand,third_party,redistricting_voter_power,anti_gerrymandering_party,geoid,chamber,district_link,dem_cand_link,rep_cand_link,third_cand_link
MN,MN-SD-14,FALSE,Toss-Up,Jerry Relph,Aric Putnam,R,Jaden Partlow,Legal Marijuana Now Party,49.9703954706879,R,27014,SD,https://ballotpedia.org/Minnesota_State_Senate_District_14,https://aricformn.com/,https://www.relphformnsenate.com/,https://ballotpedia.org/Jaden_Partlow
MN,MN-SD-58,FALSE,Toss-Up,Zach Duckworth,Matt Little,D,,,49.87386420504905,R,27058,SD,https://ballotpedia.org/Minnesota_State_Senate_District_58,https://votelittle.com/,https://www.voteduckworth.com/,
MN,MN-SD-05,R,Tilt,Justin Eichorn,Rita Albrecht,R,Robyn Smith,Legal Marijuana Now Party,44.198356375826805,R,27005,SD,https://ballotpedia.org/Minnesota_State_Senate_District_5,https://www.ritaforsenate.com/,https://www.justinformnsenate.com/,https://ballotpedia.org/Robyn_Smith
MN,MN-SD-56,FALSE,Toss-Up,Dan Hall,Lindsey Port,R,,,44.00191736055423,R,27056,SD,https://ballotpedia.org/Minnesota_State_Senate_District_56,https://www.lindseyportmn.com/,https://www.votedanhall.com/,
MN,MN-SD-54,D,Lean,Leilani Holmstadt,Karla Bigham,D,,,38.449530608430365,R,27054,SD,https://ballotpedia.org/Minnesota_State_Senate_District_54,https://www.karlabigham.com/,https://www.leilaniforsenate.com/,
MN,MN-SD-20,R,Lean,Rich Draheim,Jon Olson,R,Jason Hoschette,Grassroots-Legalize Cannabis Party Of Minnesota,36.27218078660019,R,27020,SD,https://ballotpedia.org/Minnesota_State_Senate_District_20,https://jonolsonformnsenate.com/,http://www.draheimforsenate.com/,https://ballotpedia.org/Jason_Hoschette
MN,MN-SD-26,R,Tilt,Carla Nelson,Aleta Borrud,R,,,31.264493256076168,R,27026,SD,https://ballotpedia.org/Minnesota_State_Senate_District_26,https://www.aleta4mnsenate.com/,https://www.carlanelson.com/,
MN,MN-SD-48,D,Likely,Jeff Jiang,Steve Cwodzinski,D,,,24.94932259289853,R,27048,SD,https://ballotpedia.org/Minnesota_State_Senate_District_48,https://www.cwodforsenate.com/,https://www.jiangformn.com/,
MN,MN-SD-37,D,Likely,Brad Sanford,Jerry Newton,D,,,22.198573435512166,R,27037,SD,https://ballotpedia.org/Minnesota_State_Senate_District_37,http://www.jerrynewton.us/,https://www.sanford4mn.com/,
MN,MN-SD-27,D,Lean,Gene Dornink,Dan Sparks,D,Tyler Becvar,Legal Marijuana Now Party,20.83580037744268,R,27027,SD,https://ballotpedia.org/Minnesota_State_Senate_District_27,https://ballotpedia.org/Dan_Sparks_(Minnesota),https://www.dorninkforsenate.com/,https://ballotpedia.org/Tyler_Becvar
MN,MN-SD-11,R,Likely,Jason Rarick,Michelle Lee,R,,,19.344178278354928,R,27011,SD,https://ballotpedia.org/Minnesota_State_Senate_District_11,http://www.michellelee.org/,https://www.jasonrarick.com/,
MN,MN-SD-53,D,Likely,Mary Stephens,Susan Kent,Open,,,17.65105243800233,R,27053,SD,https://ballotpedia.org/Minnesota_State_Senate_District_53,https://susankentmn.com/,https://www.maryformn.com/,
MN,MN-SD-57,D,Likely,Jose Jimenez,Greg Clausen,D,,,17.493382694313638,R,27057,SD,https://ballotpedia.org/Minnesota_State_Senate_District_57,http://clausenforsenate.com/,https://www.joseformn.com/,
MN,MN-SD-38,R,Lean,Roger Chamberlain,Justin Stofferahn,R,,,14.947272584758794,R,27038,SD,https://ballotpedia.org/Minnesota_State_Senate_District_38,https://www.justinstofferahn.com/,https://rogerchamberlainmn.com/,
MN,MN-SD-44,D,Likely,Greg Pulles,Ann Johnson Stewart,Open,,,13.503222733384384,R,27044,SD,https://ballotpedia.org/Minnesota_State_Senate_District_44,https://annjohnsonstewart.com/,https://www.gregpullesforsenate.com/,
MN,MN-SD-21,R,Likely,Mike Goggin,Ralph Kaehler,R,,,12.072497934918273,R,27021,SD,https://ballotpedia.org/Minnesota_State_Senate_District_21,https://www.kaehlerformnsenate.com/,https://ballotpedia.org/Mike_Goggin,
MN,MN-SD-04,D,Likely,Mark Larson,Kent Eken,D,,,11.808288062320248,R,27004,SD,https://ballotpedia.org/Minnesota_State_Senate_District_4,https://votekenteken.com/,https://ballotpedia.org/Mark_Larson_(Minnesota),
MN,MN-SD-25,R,Likely,David Senjem,Sara Flick,R,,,7.045817681923149,R,27025,SD,https://ballotpedia.org/Minnesota_State_Senate_District_25,https://flickforsenate.com/,https://www.senjemforsenate.com/,
MN,MN-SD-33,R,Likely,David Osmek,Gretchen Piper,R,,,6.471393342297094,R,27033,SD,https://ballotpedia.org/Minnesota_State_Senate_District_33,https://gretchenpiper.com/,https://www.osmekformn.com/,
MN,MN-SD-39,R,Likely,Karin Housley,Josiah Hill,R,,,6.461022712884301,R,27039,SD,https://ballotpedia.org/Minnesota_State_Senate_District_39,http://josiahhill.org/,https://www.housleyforsenate.com/,
MN,MN-SD-36,D,Safe,Karen Attia,John Hoffman,D,,,6.322888340880177,R,27036,SD,https://ballotpedia.org/Minnesota_State_Senate_District_36,https://johnhoffmanmn.com/,https://www.attiaforsenate.com/,
MN,MN-SD-06,D,Safe,John Moren,David Tomassoni,Open,,,6.198923142783066,R,27006,SD,https://ballotpedia.org/Minnesota_State_Senate_District_6,https://ballotpedia.org/David_Tomassoni,https://ballotpedia.org/John_Moren,
MN,MN-SD-51,D,Safe,Douglas Willetts,Jim Carlson,D,,,6.129946398316584,R,27051,SD,https://ballotpedia.org/Minnesota_State_Senate_District_51,http://www.carlsonforsenate.org/,https://www.willettsformn.com/,
MN,MN-SD-49,D,Safe,Julie Dupré,Melisa Franzen,D,,,5.768825405630287,R,27049,SD,https://ballotpedia.org/Minnesota_State_Senate_District_49,https://www.melisafranzen.com/,https://dupreforsenate.org/,
MN,MN-SD-42,D,Safe,Ben Schwanke,Jason Isaacson,D,,,5.621869969189584,R,27042,SD,https://ballotpedia.org/Minnesota_State_Senate_District_42,https://isaacsonforsd42.com/,https://www.schwankeforsenate.com/,
MN,MN-SD-02,R,Safe,Paul Utke,Alan Roy,R,,,5.504271855197072,R,27002,SD,https://ballotpedia.org/Minnesota_State_Senate_District_2,https://www.royforsd2.com/,http://www.paulutke.com/,
MN,MN-SD-17,R,Safe,Andrew Lang,Fernando Alvarado,R,,,5.010913278626253,R,27017,SD,https://ballotpedia.org/Minnesota_State_Senate_District_17,http://www.fernandoformn.com/,https://www.langforsenate.com/,
MN,MN-SD-24,R,Safe,John Jasinski,Roger Steinkamp,R,,,4.754282406709557,R,27024,SD,https://ballotpedia.org/Minnesota_State_Senate_District_24,https://rogersenate.com/,https://www.jasinskiforsenate.com/,
MN,MN-SD-32,R,Safe,Mark Koran,Joshua Fike,R,,,4.68440727632301,R,27032,SD,https://ballotpedia.org/Minnesota_State_Senate_District_32,https://ballotpedia.org/Joshua_Fike,https://www.markkoranmn.com/,
MN,MN-SD-13,R,Safe,Jeff Howe,Michael Willemsen,R,,,4.533002116331933,R,27013,SD,https://ballotpedia.org/Minnesota_State_Senate_District_13,https://mikeformn.com/,http://jeffhowe.homestead.com/,
MN,MN-SD-34,R,Safe,Warren Limmer,Bonnie Westlin,R,,,4.13868305065329,R,27034,SD,https://ballotpedia.org/Minnesota_State_Senate_District_34,http://www.bonniewestlinformnsenate.com/,https://ballotpedia.org/Warren_Limmer,
MN,MN-SD-52,D,Safe,Tomas Settell,Matt Klein,D,,,3.7168757875950393,R,27052,SD,https://ballotpedia.org/Minnesota_State_Senate_District_52,https://www.mattkleinforsenate.com/,https://www.tomasforsenate.com/,
MN,MN-SD-01,R,Safe,Mark Johnson,Reed Perkins,R,,,3.3579675978125207,R,27001,SD,https://ballotpedia.org/Minnesota_State_Senate_District_1,https://www.perkinsformn1.com/,http://www.markjohnsonmnsenate.com/,
MN,MN-SD-47,R,Safe,Julia Coleman,Addie Miller,Open,,,3.19530548136,R,27047,SD,https://ballotpedia.org/Minnesota_State_Senate_District_47,https://www.addieformn.com/,https://www.colemanforsenate.com/,
MN,MN-HD-48B,D,Tilt,Holly Link,Carlie Kotyza-Witthuhn,D,,,2.6640519013825497,R,2748B,HD,https://ballotpedia.org/Minnesota_House_of_Representatives_District_48B,https://www.carlieforhouse.com/,https://www.hollylinkmn.com/,
MN,MN-HD-55A,D,Tilt,Erik Mortensen,Brad Tabke,D,Ryan Martin,Legal Marijuana Now Party,2.6111436030701887,R,2755A,HD,https://ballotpedia.org/Minnesota_House_of_Representatives_District_55A,https://tabkeformn.com/,http://www.mortforhouse.com/,https://www.ryanmartinmn55a.com/
MN,MN-SD-50,D,Safe,Dean Mumbleau,Melissa Halvorson Wiklund,D,,,2.592506617305687,R,27050,SD,https://ballotpedia.org/Minnesota_State_Senate_District_50,https://www.wiklundforsenate.com/,https://www.deanforminnesotasenate.com/,
MN,MN-SD-10,R,Safe,Carrie Ruud,Steve Samuelson,Open,,,2.5199785352088897,R,27010,SD,https://ballotpedia.org/Minnesota_State_Senate_District_10,http://samuelsonforsenate.com/,https://www.senatorcarrieruud.com/,
MN,MN-HD-56B,D,Tilt,Roz Peterson,Kaela Berg,Open,,,2.3850699113070006,R,2756B,HD,https://ballotpedia.org/Minnesota_House_of_Representatives_District_56B,https://www.bergforminnesota.com/,http://www.rozpeterson.com/,
