state,district,favored,confidence,rep_nominee,dem_nominee,incumbent,third_party_cand,third_party,redistricting_voter_power,anti_gerrymandering_party,geoid,chamber,district_link,dem_cand_link,rep_cand_link,third_cand_link
NC,NC-HD-45,FALSE,Toss-Up,John Szoka,Frances Jackson,R,,,28.25242835523024,D,37045,HD,https://ballotpedia.org/North_Carolina_House_of_Representatives_District_45,https://ballotpedia.org/Frances_Jackson_(North_Carolina),https://www.szokafornchouse.com,
NC,NC-HD-74,FALSE,Toss-Up,Jeff Zenger,Dan Besse,Open,,,27.446533978884922,D,37074,HD,https://ballotpedia.org/North_Carolina_House_of_Representatives_District_74,https://www.bessefornc.com/,https://ballotpedia.org/Jeff_Zenger,
NC,NC-HD-59,FALSE,Toss-Up,Jon Hardister,Nicole Quick,R,,,26.457103579675973,D,37059,HD,https://ballotpedia.org/North_Carolina_House_of_Representatives_District_59,https://quickfornc.com/,https://jonhardister.com,
NC,NC-HD-82,FALSE,Toss-Up,Kristin Baker,Aimy Steele,Open,,,26.21640850632789,D,37082,HD,https://ballotpedia.org/North_Carolina_House_of_Representatives_District_82,https://aimysteele2020.com/,https://www.electkristinbaker.com/,
NC,NC-HD-83,R,Tilt,Larry G. Pittman,Gail Young,R,,,25.68708434577608,D,37083,HD,https://ballotpedia.org/North_Carolina_House_of_Representatives_District_83,https://www.gailyoungnc.com/,https://www.electpittman.com,
NC,NC-HD-63,D,Tilt,Stephen M. Ross,Ricky Hurtado,R,,,22.364925566616222,D,37063,HD,https://ballotpedia.org/North_Carolina_House_of_Representatives_District_63,https://rickyhurtadofornc.com/,http://rossfornchouse.com,
NC,NC-HD-20,R,Tilt,"Ted Davis, Jr.",Adam Ericson,Open,,,22.144429102880263,D,37020,HD,https://ballotpedia.org/North_Carolina_House_of_Representatives_District_20,https://www.electadamericson.com/,"https://ballotpedia.org/Ted_Davis,_Jr.",
NC,NC-HD-43,D,Tilt,Diane Wheatley,Kimberly Hardy,Open,,,21.653994802626425,D,37043,HD,https://ballotpedia.org/North_Carolina_House_of_Representatives_District_43,https://www.kimberlyhardyfornc.com/,https://ballotpedia.org/Diane_Wheatley,
NC,NC-HD-9,D,Tilt,Perrin Jones,Brian Farkas,R,,,21.60009164742272,D,37009,HD,https://ballotpedia.org/North_Carolina_House_of_Representatives_District_9,https://brianfarkas.com/,http://perrinjonesmd.com,
NC,NC-HD-98,D,Tilt,John Bradford III,Christy Clark,D,,,20.595889130736253,D,37098,HD,https://ballotpedia.org/North_Carolina_House_of_Representatives_District_98,https://www.christyclarknc.com,http://electbradford.com/,
NC,NC-HD-37,D,Tilt,Erin Pare,Sydney Batch,D,Liam Leaver,L,18.84391599790176,D,37037,HD,https://ballotpedia.org/North_Carolina_House_of_Representatives_District_37,https://sydneybatch.com,https://erinfornc.com/,https://ballotpedia.org/Liam_Leaver
