state,district,favored,confidence,rep_nominee,dem_nominee,incumbent,third_party_cand,third_party,redistricting_voter_power,anti_gerrymandering_party,geoid,chamber,district_link,dem_cand_link,rep_cand_link,third_cand_link
TX,TX-HD-112,FALSE,Toss-Up,Angie Chen Button,Brandy Chambers,R,Shane Newsom,L,100.0,D,48112,HD,https://ballotpedia.org/Texas_House_of_Representatives_District_112,https://brandykchambers.com/,http://www.angiebutton.com/,https://www.newsomforstaterep.com/
TX,TX-HD-26,R,Tilt,Jacey Jetton,L. Sarah DeMerchant,Open,,,93.41887092786989,D,48026,HD,https://ballotpedia.org/Texas_House_of_Representatives_District_26,https://www.democratdemerchant.com/,https://www.jaceyjetton.com/,
TX,TX-HD-66,FALSE,Toss-Up,Matt Shaheen,Sharon Hirsch,R,Shawn Jones,L,91.25068584831145,D,48066,HD,https://ballotpedia.org/Texas_House_of_Representatives_District_66,https://www.sharon4tx.com/,http://mattshaheen.com/index.html,https://ballotpedia.org/Shawn_Jones
TX,TX-HD-67,FALSE,Toss-Up,Jeff Leach,Lorenzo Sanchez,R,,,87.2766847750719,D,48067,HD,https://ballotpedia.org/Texas_House_of_Representatives_District_67,https://www.lorenzofortexas.com/,http://www.jeffleach.com/,
TX,TX-HD-96,FALSE,Toss-Up,David Cook,Joe Drago,Open,Nelson Range,L,86.88597734138062,D,48096,HD,https://ballotpedia.org/Texas_House_of_Representatives_District_96,https://dragofortexas.com/home-1,https://www.davidcookfortexas.com/,https://nelsonrangefortexas96.com
TX,TX-HD-92,R,Tilt,Jeff Cason,Jeff Whitfield,Open,Chris Hibbard,L,84.85767517018081,D,48092,HD,https://ballotpedia.org/Texas_House_of_Representatives_District_92,https://www.whitfieldfortexas.com,https://jeffcason.com,https://ballotpedia.org/Chris_Hibbard
TX,TX-HD-54,R,Lean,Brad Buckley,Likeithia Williams,R,,,83.7187147654851,D,48054,HD,https://ballotpedia.org/Texas_House_of_Representatives_District_54,https://kekefortexas.com/,https://buckleycampaign.com,
TX,TX-HD-134,R,Tilt,Sarah Davis,Ann Johnson,R,,,76.87409935304154,D,48134,HD,https://ballotpedia.org/Texas_House_of_Representatives_District_134,https://www.annjohnson.com/,https://ballotpedia.org/Sarah_Davis,
TX,TX-HD-121,R,Lean,Steve Allison,Celina Montoya,R,,,76.75230475179828,D,48121,HD,https://ballotpedia.org/Texas_House_of_Representatives_District_121,https://www.celinamontoya.org/,http://www.stevefortexas.com/,
TX,TX-HD-108,FALSE,Toss-Up,Morgan Meyer,Joanna Cattanach,R,Ed Rankin,L,76.37606796379927,D,48108,HD,https://ballotpedia.org/Texas_House_of_Representatives_District_108,https://joannafortexas.com/,http://morganmeyerfortexas.com,https://ballotpedia.org/Ed_Rankin
TX,TX-HD-126,R,Likely,E. Sam Harless,Natali Hurtado,R,,,71.55613706113245,D,48126,HD,https://ballotpedia.org/Texas_House_of_Representatives_District_126,https://www.natalifortexas.com/,https://www.samharless126.com/,
TX,TX-HD-138,D,Tilt,Lacey Hull,Akilah Bacy,Open,,,56.99082922829253,D,48138,HD,https://ballotpedia.org/Texas_House_of_Representatives_District_138,https://www.akilahbacy.com/,https://www.laceyhull.com/,
TX,TX-HD-132,FALSE,Toss-Up,Mike Schofield,Gina Calanni,D,,,55.52567635195024,D,48132,HD,https://ballotpedia.org/Texas_House_of_Representatives_District_132,https://www.ginacalanni.com/,https://www.mikeschofield.com/,
TX,TX-HD-97,R,Likely,Craig Goldman,Elizabeth Beck,R,Rod Wingo,L,50.03744279572876,D,48097,HD,https://ballotpedia.org/Texas_House_of_Representatives_District_97,https://www.elizabethfortexas.com/,http://craiggoldman.org/,https://ballotpedia.org/Rod_Wingo
TX,TX-HD-93,R,Likely,Matt Krause,Lydia Bean,R,,,47.98592729706427,D,48093,HD,https://ballotpedia.org/Texas_House_of_Representatives_District_93,https://www.lydiabeanfortexas.com/,https://www.mattkrause.org/,
TX,TX-HD-85,R,Likely,Phil Stephenson,Joey Cardenas III,R,Michael Miller,L,41.84741910004644,D,48085,HD,https://ballotpedia.org/Texas_House_of_Representatives_District_85,https://ballotpedia.org/Joey_Cardenas_III,http://www.philfortexas.com/,https://www.miller4texas.com
TX,TX-HD-64,R,Likely,Lynn Stucky,Angela Brewer,R,Rick Routh,L,39.2862354012288,D,48064,HD,https://ballotpedia.org/Texas_House_of_Representatives_District_64,https://www.angelafortexas.com/,http://www.lynnstucky.com/,https://ballotpedia.org/Rick_Routh
