state,district,incumbent,favored,confidence,nom_R,nom_D,nom_I,cvap,VOTER_POWER,redistricting_voter_power
AR,AR-SD-1,False,R,Safe,Bart Hester,Ronetta Francis,False,70820,0.0,0.0
AR,AR-SD-2,R,R,Safe,Jim Hendren,Ryan Craig,False,66625,0.0,0.0
AR,AR-SD-12,D,R,Tilt,Charles Beckham,Bruce Maloch,False,62530,0.0,0.0
AR,AR-SD-13,R,R,Safe,Alan Clark,Brandon Overly,False,65675,0.0,0.0
AR,AR-SD-26,D,R,Safe,Ben Gilmore,Eddie Cheatham,False,58550,0.0,0.0
AR,AR-SD-27,R,R,Safe,Trent Garner,Keidra Burrell,False,59545,0.0,0.0
AR,AR-SD-32,False,D,Safe,Bob Thomas,Clarke Tucker,False,64485,0.0,0.0
AR,AR-SD-34,R,R,Likely,Jane English,Alisa Blaize Dixon,False,66945,0.0,0.0
AR,AR-HD-3,R,R,Safe,Danny Watson,Larry Faulkner,False,20355,1.5000191014432826e-10,4.500057304329848e-10
AR,AR-HD-5,D,D,Safe,Chase McDowell,David Fielding,False,20190,2.9845537933420596e-13,8.953661380026179e-13
AR,AR-HD-7,R,R,Safe,Sonia Eubanks Barker,George Calloway,False,18745,1.772432262130098e-10,5.317296786390294e-10
AR,AR-HD-8,R,R,Safe,Jeffrey Wardlaw,Christopher Ogburn,False,20570,1.437222293623362e-10,4.3116668808700857e-10
AR,AR-HD-9,D,R,Lean,Howard Beaty,LeAnne Burch,False,21925,1.3841958300593073e-11,4.152587490177922e-11
AR,AR-HD-11,D,D,Safe,Mark McElroy,Don Glover,False,19100,3.145949619516239e-13,9.437848858548717e-13
AR,AR-HD-12,False,D,Safe,David Tollett,Jimmie Wilson,False,21820,2.927225925845531e-13,8.781677777536592e-13
AR,AR-HD-14,R,R,Safe,Roger Dale Lynch,Rick Bransford,Christia Jones,22840,1.2744740629326828e-10,3.8234221887980483e-10
AR,AR-HD-15,R,R,Safe,Ken Bragg,False,Wayne Willems,22030,3.877863750598176e-10,1.1633591251794528e-09
AR,AR-HD-22,False,R,Safe,Richard McGrew,False,Judy Bowers,24255,3.526020483755757e-10,1.0578061451267272e-09
AR,AR-HD-26,False,R,Safe,Rick McGlure,Joyce Schimenti,False,23535,3.1326899649114677e-10,9.398069894734403e-10
AR,AR-HD-31,False,R,Safe,Keith Brooks,Mazhil Rajendran,False,26100,3.315860251711057e-10,9.94758075513317e-10
AR,AR-HD-32,R,False,Toss-Up,Jim Sorvillo,Ashley Hudson,False,20965,1.7195884432640203e-11,5.158765329792061e-11
AR,AR-HD-34,False,D,Safe,False,Joy Springer,Roderick Greer Talley,19690,4.637884043826035e-13,1.3913652131478105e-12
AR,AR-HD-38,R,R,Tilt,Carlton Wing,Matthew Stallings,False,22480,2.341258508950245e-11,7.023775526850735e-11
AR,AR-HD-39,R,R,Lean,Mark Lowery,Kayla Applegate,False,25065,2.132451536857559e-11,6.397354610572677e-11
AR,AR-HD-41,R,R,Tilt,Karilyn Brown,Jannie Cotton,False,22905,3.886204883287239e-11,1.1658614649861718e-10
AR,AR-HD-44,R,R,Safe,Cameron Cooper,Rodney Govens,False,23425,3.6459421870742737e-10,1.0937826561222821e-09
AR,AR-HD-49,R,R,Safe,Steve Hollowell,Justin Reeves,False,20645,1.5465875009433496e-10,4.639762502830049e-10
AR,AR-HD-53,False,R,Safe,Jon Milligan,Shawn Only,False,24295,3.561055566094276e-10,1.0683166698282828e-09
AR,AR-HD-55,D,D,Safe,Gary Tobar,Monte Hodges,False,18390,3.606001809002349e-13,1.0818005427007046e-12
AR,AR-HD-58,R,R,Safe,Brandt Smith,Jim Burton,False,23840,2.0842389072224174e-10,6.252716721667252e-10
AR,AR-HD-59,R,R,Safe,Jack Ladyman,Ray Prunty,False,21010,4.0948313213525286e-10,1.2284493964057586e-09
AR,AR-HD-65,R,R,Safe,Rick Beck,David Norman,False,21480,3.973364841628694e-10,1.1920094524886082e-09
AR,AR-HD-67,R,R,Safe,Stephen Meeks,Steve Wilson,False,22715,3.760108734248389e-10,1.1280326202745166e-09
AR,AR-HD-68,R,R,Safe,Stan Berry,Lisa Hassell,False,23940,3.559726180545151e-10,1.0679178541635453e-09
AR,AR-HD-72,D,D,Safe,James Phillips,Steve Magie,False,23240,4.4169180845373556e-13,1.3250754253612067e-12
AR,AR-HD-74,R,R,Safe,Jon Eubanks,June Anteski,False,22630,3.7750462181425094e-10,1.1325138654427528e-09
AR,AR-HD-76,R,R,Safe,Cindy Crawford,Caleb Harwell,False,22640,3.710862568970111e-10,1.1132587706910333e-09
AR,AR-HD-77,R,R,Safe,Justin Boyd,False,Stephen Edwards,21335,3.8116523847810113e-10,1.1434957154343034e-09
AR,AR-HD-80,R,R,Safe,Charlene Fite,Lou Reed Sharp,False,22100,3.9092702719975645e-10,1.1727810815992694e-09
AR,AR-HD-82,False,R,Safe,Mark Berry,Gwen Ford Faulkenberry,False,21460,3.9737092155450135e-10,1.1921127646635041e-09
AR,AR-HD-85,D,D,Safe,Brian Hester,David Whitaker,False,24405,7.239098778972011e-13,2.1717296336916034e-12
AR,AR-HD-86,D,D,Safe,John LaTour,Nicole Clowney,False,28410,4.3986254254831797e-13,1.319587627644954e-12
AR,AR-HD-87,R,R,Safe,Robin Lundstrum,Michael Bennett-Spears,False,22615,3.8152219064395166e-10,1.144566571931855e-09
AR,AR-HD-88,R,R,Safe,Clint Penzo,Hawley Woods,False,18990,4.2494168845882713e-10,1.2748250653764814e-09
AR,AR-HD-89,D,D,Lean,Jed Duggar,Megan Godfrey,False,14450,6.821759777615559e-12,2.0465279332846677e-11
AR,AR-HD-90,False,R,Safe,Kendon Underwood,Kelly Ross Kraut,False,22675,3.7764651150164197e-10,1.132939534504926e-09
AR,AR-HD-91,False,R,Safe,Delia Haak,Nick Jones,False,25165,3.4343252013394575e-10,1.0302975604018372e-09
AR,AR-HD-93,R,R,Safe,Jim Dotson,Daisy Bonilla,False,23420,3.6433902317095824e-10,1.0930170695128748e-09
AR,AR-HD-94,False,R,Lean,John Carr,Jene Huffman-Gilreath,False,18425,9.113221627527791e-11,2.7339664882583374e-10
AR,AR-HD-96,False,R,Safe,Joshua Bryant,Jon Comstock,False,20965,4.1320085708855455e-10,1.2396025712656637e-09
AR,AR-HD-97,R,R,Safe,Harlan Breaux,Suzie Bell,False,24350,1.2285720886267247e-10,3.685716265880174e-10
AR,AR-HD-100,R,R,Safe,Nelda Speaks,False,Kevin Vornheder,24500,3.508510087004476e-10,1.0525530261013428e-09
CT,CT-SD-1,D,D,Safe,Barbara Ruhe,John Fonfara,Mary Sanders,62890,-3.39709450569714e-08,-1.358837802278856e-07
CT,CT-SD-4,D,D,Likely,Matthew Corey,Steve Cassano,"Harold Harris, Kelly Green",72100,-2.978191873115321e-07,-1.1912767492461285e-06
CT,CT-SD-5,D,D,Safe,Phillip Chabot,Derek Slap,Joelle Nawrocki,71290,-2.1884403844651956e-08,-8.753761537860782e-08
CT,CT-SD-6,R,D,Lean,Gennaro Bizzarro,Rick Lopes,False,68075,-3.566659699805186e-07,-1.4266638799220743e-06
CT,CT-SD-7,R,R,Likely,John Kissel,Frederich Moffa,False,80225,-4.902088714953123e-07,-1.9608354859812493e-06
CT,CT-SD-8,R,R,Likely,Kevin Witkos,Melissa Osborne,Keith McConnell,71375,-3.272855313429801e-07,-1.3091421253719204e-06
CT,CT-SD-9,D,D,Safe,Richard Ruglio,Matthew Lesser,False,77045,-5.6623839173042256e-08,-2.2649535669216903e-07
CT,CT-SD-10,D,D,Safe,Carlos Alvarado,Gary Winfield,Jason Bartlett,64175,-3.3257716358647826e-08,-1.330308654345913e-07
CT,CT-SD-11,D,D,Safe,Jameson White,Martin Looney,Alex Taubes,69685,-2.761352002611517e-08,-1.1045408010446069e-07
CT,CT-SD-12,D,D,Lean,Joe LaPorta,Christine Cohen,False,74010,-4.637075974311955e-07,-1.854830389724782e-06
CT,CT-SD-13,D,D,Lean,Len Suzio,Mary Daugherty Abrams,False,75600,-4.3571395791364154e-07,-1.7428558316545661e-06
CT,CT-SD-14,D,D,Lean,Michael Southworth,James Maroney,False,73235,-6.689188478681274e-07,-2.6756753914725095e-06
CT,CT-SD-16,R,R,Safe,Robert Sampson,Jack Perry,False,77910,-1.941706322394765e-07,-7.76682528957906e-07
CT,CT-SD-17,R,False,Toss-Up,George Logan,Jorge Cabrera,False,72500,-1.128128918836957e-06,-4.512515675347828e-06
CT,CT-SD-18,R,R,Likely,Heather Somers,"Robert ""Bob"" Statchen",False,77780,-5.940787577429774e-07,-2.3763150309719094e-06
CT,CT-SD-19,D,D,Safe,Steve Weir,Catherine Osten,William Russell,75365,-5.158342286648576e-08,-2.0633369146594305e-07
CT,CT-SD-20,R,False,Toss-Up,Paul Formica,Martha Marx,Joseph Taraya,74265,-1.2788186632972653e-06,-5.115274653189061e-06
CT,CT-SD-22,D,D,Safe,Steven Choi,Marilyn Moore,Steven Dincher,67995,-6.812989616911125e-08,-2.72519584676445e-07
CT,CT-SD-23,D,D,Safe,Josiah Israel,Dennis Bradley,False,57340,-3.979683260713074e-08,-1.5918733042852296e-07
CT,CT-SD-24,D,D,Likely,Susan Chapman,Julie Kushner,False,69000,-2.4106177054505906e-07,-9.642470821802362e-07
CT,CT-SD-25,D,D,Safe,Ellie Kousidis,Bob Duff,False,66375,-3.046071705981035e-08,-1.218428682392414e-07
CT,CT-SD-26,D,D,Lean,Kim Healy,William Haskell,False,73865,-3.213011711133973e-07,-1.2852046844535892e-06
CT,CT-SD-27,D,D,Safe,Eva Maldonado,Carlo Leone,False,64960,-3.0830349162513926e-08,-1.233213966500557e-07
CT,CT-SD-28,R,R,Likely,Tony Hwang,Michelle McCabe,False,76060,-6.34109269648242e-07,-2.536437078592968e-06
CT,CT-SD-29,D,D,Likely,Jessica Alba,Mae Flexer,False,80140,-1.625724063147871e-07,-6.502896252591484e-07
CT,CT-SD-30,R,R,Lean,Craig Miner,David Gronbach,False,72860,-1.034867508242776e-06,-4.139470032971104e-06
CT,CT-SD-31,R,R,Safe,Henri Martin,Mary Fortier,False,78795,-1.7681593245111316e-07,-7.072637298044526e-07
CT,CT-SD-32,R,R,Safe,Eric Berthel,Jeffrey Desmarais,False,72285,-1.3566985768154183e-07,-5.426794307261673e-07
CT,CT-SD-33,D,D,Lean,Brendan Saunders,Norman Needleman,False,78235,-4.5076216514949863e-07,-1.8030486605979945e-06
CT,CT-SD-34,False,R,Safe,Paul Cicarella,April Capone,False,76990,-1.9280959906442519e-07,-7.712383962577007e-07
CT,CT-SD-35,R,R,Lean,Daniel Champagne,Lisa Thomas,False,78730,-1.1060537975504658e-06,-4.424215190201863e-06
CT,CT-SD-36,R,D,Tilt,Alex Kasser,Ryan Fazio,False,65545,-8.47873782072739e-07,-3.391495128290956e-06
CT,CT-HD-1,D,D,Safe,False,Matthew Ritter,"Daniel Piper, Mark Greenstein",15265,-2.3794284897959983e-07,-9.517713959183993e-07
CT,CT-HD-2,D,D,Tilt,Dan Carter,Raghib Allie-Brennan,False,17635,-3.3363520747231586e-06,-1.3345408298892634e-05
CT,CT-HD-4,D,D,Safe,Barry J. D'Andrea,Julio A. Concepcion,False,15750,-2.147284053899412e-07,-8.589136215597648e-07
CT,CT-HD-5,D,D,Safe,Charles Jackson,Brandon McGee,False,16365,-1.488927162673903e-07,-5.955708650695613e-07
CT,CT-HD-8,R,R,Safe,Tim Ackert,Brenda Falusi,False,18525,-8.530369081105604e-07,-3.4121476324422417e-06
CT,CT-HD-9,D,D,Safe,Cathy Hopperstad,Jason Rojas,False,17085,-1.4426500405395615e-07,-5.770600162158246e-07
CT,CT-HD-11,D,D,Safe,Matthew Harper,Jeff Currey,False,15210,-1.6610631303759504e-07,-6.644252521503802e-07
CT,CT-HD-12,D,D,Safe,Jeff Sullivan,Geoffrey Luxenberg,False,18295,-1.5114158125051347e-07,-6.045663250020539e-07
