state,district,incumbent,favored,confidence,nom_R,nom_D,nom_I,turnout_cvap,VOTER_POWER
CT,CT-HD-1,D,D,Safe,FALSE,FALSE,FALSE,8256,-7.48E-07
CT,CT-HD-2,D,D,Lean,FALSE,FALSE,FALSE,9538,-2.77E-06
CT,CT-HD-3,D,D,Safe,FALSE,FALSE,FALSE,7240,-8.53E-07
CT,CT-HD-4,D,D,Safe,FALSE,FALSE,FALSE,8519,-7.25E-07
CT,CT-HD-5,D,D,Safe,FALSE,FALSE,FALSE,8851,-6.98E-07
CT,CT-HD-6,D,D,Safe,FALSE,FALSE,FALSE,7772,-7.95E-07
CT,CT-HD-7,D,D,Safe,FALSE,FALSE,FALSE,8094,-7.63E-07
CT,CT-HD-8,R,R,Safe,FALSE,FALSE,FALSE,10020,-5.95E-08
CT,CT-HD-9,D,D,Safe,FALSE,FALSE,FALSE,9241,-6.69E-07
CT,CT-HD-10,D,D,Safe,FALSE,FALSE,FALSE,8584,-7.20E-07
CT,CT-HD-11,D,D,Safe,FALSE,FALSE,FALSE,8227,-7.51E-07
CT,CT-HD-12,D,D,Safe,FALSE,FALSE,FALSE,9895,-6.24E-07
CT,CT-HD-13,D,D,Safe,FALSE,FALSE,FALSE,9273,-6.66E-07
CT,CT-HD-14,R,R,Likely,FALSE,FALSE,FALSE,9425,-2.39E-07
CT,CT-HD-15,D,D,Safe,FALSE,FALSE,FALSE,10125,-6.10E-07
CT,CT-HD-16,D,D,Safe,FALSE,FALSE,FALSE,9717,-6.36E-07
CT,CT-HD-17,FALSE,FALSE,Toss-Up,FALSE,FALSE,FALSE,9184,-1.88E-06
CT,CT-HD-18,D,D,Safe,FALSE,FALSE,FALSE,9471,-6.52E-07
CT,CT-HD-19,D,D,Safe,FALSE,FALSE,FALSE,9227,-6.70E-07
CT,CT-HD-20,D,D,Safe,FALSE,FALSE,FALSE,8708,-7.10E-07
CT,CT-HD-21,D,D,Lean,FALSE,FALSE,FALSE,9352,-2.83E-06
CT,CT-HD-22,R,R,Safe,FALSE,FALSE,FALSE,9260,-6.44E-08
CT,CT-HD-23,R,R,Likely,FALSE,FALSE,FALSE,10025,-2.25E-07
CT,CT-HD-24,D,D,Safe,FALSE,FALSE,FALSE,8573,-7.21E-07
CT,CT-HD-25,D,D,Safe,FALSE,FALSE,FALSE,8500,-7.27E-07
CT,CT-HD-26,D,D,Safe,FALSE,FALSE,FALSE,9484,-6.51E-07
CT,CT-HD-27,D,D,Likely,FALSE,FALSE,FALSE,10168,-1.91E-06
CT,CT-HD-28,D,D,Likely,FALSE,FALSE,FALSE,9711,-2.00E-06
CT,CT-HD-29,D,D,Safe,FALSE,FALSE,FALSE,9722,-6.36E-07
CT,CT-HD-30,FALSE,FALSE,Toss-Up,FALSE,FALSE,FALSE,10766,-1.61E-06
CT,CT-HD-31,D,D,Tilt,FALSE,FALSE,FALSE,9684,-2.55E-06
CT,CT-HD-32,R,R,Likely,FALSE,FALSE,FALSE,9765,-2.31E-07
CT,CT-HD-33,D,D,Safe,FALSE,FALSE,FALSE,9976,-6.19E-07
CT,CT-HD-34,R,R,Lean,FALSE,FALSE,FALSE,9857,-5.23E-07
CT,CT-HD-35,R,R,Likely,FALSE,FALSE,FALSE,9920,-2.27E-07
CT,CT-HD-36,D,D,Lean,FALSE,FALSE,FALSE,10082,-2.62E-06
CT,CT-HD-37,R,R,Tilt,FALSE,FALSE,FALSE,9979,-9.89E-07
CT,CT-HD-38,R,R,Tilt,FALSE,FALSE,FALSE,10122,-9.75E-07
CT,CT-HD-39,D,D,Safe,FALSE,FALSE,FALSE,9038,-6.84E-07
CT,CT-HD-40,D,D,Safe,FALSE,FALSE,FALSE,9773,-6.32E-07
CT,CT-HD-41,D,D,Safe,FALSE,FALSE,FALSE,9035,-6.84E-07
CT,CT-HD-42,R,R,Safe,FALSE,FALSE,FALSE,10006,-5.96E-08
CT,CT-HD-43,D,D,Likely,FALSE,FALSE,FALSE,10268,-1.89E-06
CT,CT-HD-44,R,R,Safe,FALSE,FALSE,FALSE,10074,-5.92E-08
CT,CT-HD-45,R,R,Safe,FALSE,FALSE,FALSE,9517,-6.26E-08
