state,state_po,2020 elections?,Voter Impact on 2021 Congressional Redisticting:,State Legislature Elections in 2020?,only 1 district,Redistricting process,2020 election playing field,Bipartisan Control Probability
Alabama,AL,0,No leverage,0,,"Alabama's state legislative and congressional district lines are drawn by the Legislature by ordinary statute, and are subject to the Governor's veto. The Legislature can override vetoes with a simple majority vote in each chamber. ",,
Alaska,AK,1,No leverage,1,1,"Alaska's state legislative district lines are drawn by the state's Redistricting Board, an independent commission with members appointed by the Governor, the majority leaders in each chamber of the Legislature, and the Chief Justice of the Supreme Court. Alaska has only one at-large congressional district.",,
Arizona,AZ,1,No leverage,1,,Arizona's state legislative and congressional district lines are drawn by the state's Independent Redistricting Commission.,,
Arkansas,AR,1,Very low leverage,1,,"Arkansas' congressional districts are drawn by the Legislature by ordinary statute, and are subject to the Governor's veto. The Legislature has the power to override the Governor's veto with a simple majority in each chamber. Arkansas' state legislative districts are drawn by an Apportionment Board consisting of the Governor, the Attorney General, and the Secretary of State.","Republicans hold the governorship and both chambers of the state legislature, and this is very unlikely to change. Republicans will almost certainly have single-party control of redistricting.",<1%
California,CA,,No leverage,1,,"California's state legislative and congressional maps are drawn by an Independent Commission of citizens, selected through a rigorous process to reduce partisan influences.",,
Colorado,CO,,No leverage,1,,"Beginning in the 2020 redistricting cycle, Colorado's state legislative and congressional districts will be drawn by two separate independent redistricting commissions.",,
Connecticut,CT,,Some leverage,1,,"Connecticut's Legislature has the primary responsibility of drawing state legislative and congressional district lines. A supermajority of two-thirds of each chamber is required to adopt a district plan. If the Legislature fails to adopt a plan for any chamber, the lines will be drawn by a nine-member backup Commission.","Democrats currently have majorities in both chambers of the legislature but do not hold two-thirds of the seats in either chamber. If Democrats reach supermajorities in both chambers, they will gain single-party control of redistricting.",86%
Delaware,DE,,No leverage,1,1,"Delaware's legislative lines are drawn by the Legislature by ordinary statute, and are subject to the Governor's veto. The Legislature can override vetoes with a three-fifths majority in each chamber. Delaware has only one at-large congressional district.",,
Florida,FL,,Some leverage,1,,"Florida's congressional district lines are drawn by the Legislature by ordinary statute, and are subject to the Governor's veto. The Legislature can override vetoes with a two-thirds vote in each chamber. Florida's state legislative lines are drawn by the Legislature by joint resolution, which are not subject to the Governor's veto.",Florida has a Republican governor and a Republican state legislature. Democrats' most plausible path to breaking the trifecta is picking up 14 seats in the State House.,12%
Georgia,GA,,Low leverage,1,,"Georgia's state legislative and congressional district lines are drawn by the Legislature by ordinary statute, and are subject to the Governor's veto. The Legislature can override vetos with a two-thirds vote in each chamber.","Republicans hold the governorship and both chambers of the state legislature, and Democrats are a long shot to break this trifecta.",< 2%
Hawai'i,HI,,No leverage,1,,Hawai'i has a partisan redistricting commission.,,
Idaho,ID,,No leverage,1,,Idaho's state legislative and congressional districts are drawn by an independent redistricting commission which is evenly balanced between the two major parties.,,
Illinois,IL,,Very low leverage,1,,"Illinois's state legislative and congressional districts are drawn by the state Legislature by ordinary statute, and are subject to the Governor's veto. The Legislature can override vetoes with a three-fifths vote in each chamber.","Democrats hold the governorship and both chambers of the state legislature, and this is very unlikely to change. Democrats will almost certainly have single-party control of redistricting.",<1%
Indiana,IN,,Very low leverage,1,,"Indiana's state legislative and congressional districts are drawn by the state Legislature by ordinary statute, and are subject to the Governor's veto. The Legislature can override vetoes with a simple majority in each chamber. ","Both chambers of Indiana's state legislature are very likely to remain controlled by Republicans, so the best path to bipartisan redistricting is to elect a Democratic governor in 2020 (election handicappers see this as very improbable).",<1%
Iowa,IA,,No leverage,1,,"Iowa has one of the nation's first redistricting commission processes. Civil servants, guided by a bipartisan committee, draft up to three maps, which the Legislature can accept or reject (or modify, after a certain number of rejections). The success of this process depends on courtesy between legislators and a respect for democratic norms.",,
Kansas,KS,1,High leverage,1,,"Kansas's state legislative and congressional districts are drawn by the state Legislature by ordinary statute, and are subject to the Governor's veto. The Legislature can override vetoes with a two-thirds vote in each chamber.",Kansas has a Democratic governor and a Republican state legislature with supermajority power in both chambers. Democrats need to pick up one seat in the State House or win three seats in the State Senate to break the Republican supermajority.,74%
Kentucky,KY,,Very low leverage,1,,"Kentucky's state legislative and congressional districts are drawn by the state Legislature by ordinary statute, and are subject to the Governor's veto. The Legislature can override vetoes with a simple majority vote in each chamber.","Kentucky's Democratic governor can be overruled by the state legislature, and Republicans are almost certain to retain control over both chambers.",<1%
Louisiana,LA,,No leverage,1,,"Louisiana's state legislative and congressional districts are drawn by the state Legislature by ordinary statute, and are subject to the Governor's veto. The Legislature can override vetoes with a two-thirds vote in each chamber.",,
Maine,ME,,Very low leverage,1,,"Maine has an advisory commission that makes recommendations to the Legislature, which can accept, modify, or reject the recommendations. Any map it adopts must be by a two-thirds vote in each chamber of the Legislature.",,
Maryland,MD,,No leverage,0,,"Maryland's congressional districts are drawn by the state Legislature by ordinary statute, and are subject to the Governor's veto. The Legislature can override vetoes with a three-fifths vote in each chamber. Maryland's state legislative districts are first drawn by the Governor and, typically, an advisory commission the Governor appoints. ",,
Massachusetts,MA,,Very low leverage,1,,"Massachusetts's state legislative and congressional districts are drawn by the state Legislature by ordinary statute, and are subject to the Governor's veto. The Legislature can override vetoes with a two-thirds vote in each chamber.","The Democrats' supermajority in both state legislature chambers allows them override the Republican governor's veto, and this is very unlikely to change.",
Michigan,MI,,No leverage,1,,"Beginning in the 2020 redistricting cycle, Michigan's state legislative and congressional districts will be drawn by a 13-member independent citizen redistricting commission.",,
Minnesota,MN,,High leverage,1,,"Minnesota's state legislative and congressional districts are drawn by the state Legislature by ordinary statute, and are subject to the Governor's veto. The Legislature can override vetoes with a two-thirds vote in each chamber.","Minnesota has a Democratic governor, Democratic State House, and Republican State Senate. Republicans need to retain their majority (minimum 34 seats) in the State Senate to prevent Democratic unified control of redistricting.",41%
Mississippi,MS,,No leverage,0,,"Mississippi's state legislative and congressional lines are drawn by the Legislature by ordinary statute, and are subject to the Governor's veto. The Legislature can override vetoes with a two-thirds vote in each chamber. If the Legislature fails to adopt a state legislative map, the task falls to a partisan backup commission currently controlled by Republicans.",,
Missouri,MO,,Very low leverage,1,,"Missouri's congressional districts are drawn by the Legislature by ordinary statute, and will be subject to the Governor's veto. Beginning in 2021, Missouri's state legislative districts will be drawn by a nonpartisan state demographer. The demographer will draft maps subject to approval by two bipartisan redistricting commissions, whose members are nominated by the state party committees and appointed by the Governor.","Both chambers of Missouri's state legislature are very likely to remain controlled by Republicans, so the best path to bipartisan redistricting is to elect a Democratic governor in 2020 (polls show that this is possible but improbable).",
Montana,MT,,No leverage,1,,"Montana's state legislative and congressional districts are drawn by an independent redistricting commission. Currently, Montana has only one at-large congressional district.",,
Nebraska,NE,,Some leverage,1,,"Nebraska has a one-chamber Legislature that is nominally nonpartisan, but is in fact Republican. Its state legislative and congressional districts are drawn by the Legislature by ordinary statute, and are subject to the Governor's veto. The Legislature can override vetoes with a three-fifths vote in each chamber.","Republicans hold the governorship and the state legislature, and this is very unlikely to change. Republicans will almost certainly have single-party control of redistricting. Democrats can block partisan gerrymander with a filibuster.",73%
Nevada,NV,,Low leverage,1,,"Nevada's state legislative and congressional districts are drawn by the Legislature by ordinary statute, and are subject to the Governor's veto. The Legislature can override vetoes with a two-thirds vote in each chamber.","Democrats hold the governorship and both chambers of the state legislature, and this is very unlikely to change. Democrats will very likely have single-party control of redistricting.",1%
New Hampshire,NH,,Low leverage,1,,"New Hampshire's state legislative and congressional districts are drawn by the legislature by ordinary statute, and are subject to the governor's veto. The legislature can override vetoes with a two-thirds vote in each chamber.","Republicans appear likely to retain the governorship, while Democrats are expected to maintain control of the legislature. We have not modeled the possiblity of Democratic supermajorities because of the challenges posed by multimember districts. However, it appears unlikely that Democrats will reach supermajorities in both chambers.",
