code,name,num,prior
AL,Alabama,1,-27.7
AK,Alaska,2,-14.73
AZ,Arizona,3,-3.5
AR,Arkansas,4,-26.92
CA,California,5,30.11
CO,Colorado,6,4.91
CT,Connecticut,7,13.64
DC,D.C.,8,86.8
DE,Delaware,9,11.37
FL,Florida,10,-1.2
GA,Georgia,11,-5.09
HI,Hawaii,12,32.52
ID,Idaho,13,-31.6
IL,Illinois,14,17.07
IN,Indiana,15,-19.01
IA,Iowa,16,-9.5
KS,Kansas,17,-20.42
KY,Kentucky,18,-29.84
LA,Louisiana,19,-19.64
ME,Maine,20,2.96
MD,Maryland,21,26.42
MA,Massachusetts,22,27.2
MI,Michigan,23,-0.23
MN,Minnesota,24,1.52
MS,Mississippi,25,-17.83
MO,Missouri,26,-18.64
MT,Montana,27,-20.42
NE,Nebraska,28,-25.05
NV,Nevada,29,1.52
NH,New Hampshire,30,0.37
NJ,New Jersey,31,13.99
NM,New Mexico,32,8.22
NY,New York,33,22.49
NC,North Carolina,34,-3.66
ND,North Dakota,35,-35.73
OH,Ohio,36,-8.13
OK,Oklahoma,37,-36.39
OR,Oregon,38,10.98
PA,Pennsylvania,39,-0.72
RI,Rhode Island,40,15.51
SC,South Carolina,41,-14.27
SD,South Dakota,42,-29.79
TN,Tennessee,43,-26
TX,Texas,44,-8.99
UT,Utah,45,-18.08
VT,Vermont,46,26.41
VA,Virginia,47,5.32
WA,Washington,48,15.71
WV,West Virginia,49,-42.07
WI,Wisconsin,50,-0.77
WY,Wyoming,51,-46.3
