num_polls,julian_date,date_most_recent_poll,median_margin,esd,state_num
2,168,037,-20.50,0.74,1
0,168,001,-14.73,-999.00,2
4,168,167,2.85,2.71,3
1,168,162,-2.00,0.00,4
3,168,147,28.00,3.43,5
3,168,132,18.16,3.68,6
2,168,125,18.10,7.26,7
0,168,001,86.80,-999.00,8
1,168,021,15.70,0.00,9
4,168,163,3.10,4.82,10
3,168,165,1.00,3.62,11
0,168,001,32.52,-999.00,12
0,168,001,-31.60,-999.00,13
0,168,001,17.07,-999.00,14
2,168,144,-11.50,2.22,15
3,168,162,-1.00,0.66,16
3,168,153,-12.00,2.64,17
2,168,145,-16.50,0.74,18
0,168,001,-19.64,-999.00,19
1,168,063,10.00,0.00,20
2,168,144,24.40,0.89,21
2,168,127,30.90,4.30,22
5,168,164,13.00,7.59,23
1,168,141,5.00,0.00,24
2,168,156,-12.40,3.85,25
3,168,163,-7.00,2.31,26
2,168,118,-13.99,12.33,27
0,168,001,-25.05,-999.00,28
3,168,121,4.00,3.03,29
3,168,118,-2.00,6.72,30
3,168,125,19.00,3.62,31
2,168,165,11.30,4.00,32
2,168,142,24.00,1.48,33
4,168,155,0.50,2.97,34
1,168,065,-17.00,0.00,35
3,168,154,0.70,2.73,36
2,168,156,-23.50,6.67,37
0,168,001,10.98,-999.00,38
3,168,152,-4.00,8.73,39
0,168,001,15.51,-999.00,40
3,168,147,-10.00,3.43,41
0,168,001,-29.79,-999.00,42
3,168,143,-16.00,4.94,43
3,168,156,-1.00,1.91,44
2,168,136,-11.00,11.86,45
0,168,001,26.41,-999.00,46
3,168,137,10.00,2.64,47
3,168,141,22.00,7.25,48
1,168,009,-35.00,0.00,49
3,168,154,9.00,6.26,50
0,168,001,-46.30,-999.00,51
2,167,037,-20.50,0.74,1
0,167,001,-14.73,-999.00,2
4,167,167,2.85,2.71,3
1,167,162,-2.00,0.00,4
3,167,147,28.00,3.43,5
3,167,132,18.16,3.68,6
2,167,125,18.10,7.26,7
0,167,001,86.80,-999.00,8
1,167,021,15.70,0.00,9
4,167,163,3.10,4.82,10
3,167,165,1.00,3.62,11
0,167,001,32.52,-999.00,12
0,167,001,-31.60,-999.00,13
0,167,001,17.07,-999.00,14
2,167,144,-11.50,2.22,15
3,167,162,-1.00,0.66,16
3,167,153,-12.00,2.64,17
2,167,145,-16.50,0.74,18
0,167,001,-19.64,-999.00,19
1,167,063,10.00,0.00,20
2,167,144,24.40,0.89,21
2,167,127,30.90,4.30,22
5,167,164,13.00,7.59,23
1,167,141,5.00,0.00,24
2,167,156,-12.40,3.85,25
3,167,163,-7.00,2.31,26
2,167,118,-13.99,12.33,27
0,167,001,-25.05,-999.00,28
3,167,121,4.00,3.03,29
3,167,118,-2.00,6.72,30
3,167,125,19.00,3.62,31
2,167,165,11.30,4.00,32
2,167,142,24.00,1.48,33
4,167,155,0.50,2.97,34
1,167,065,-17.00,0.00,35
3,167,154,0.70,2.73,36
2,167,156,-23.50,6.67,37
0,167,001,10.98,-999.00,38
3,167,152,-4.00,8.73,39
0,167,001,15.51,-999.00,40
3,167,147,-10.00,3.43,41
0,167,001,-29.79,-999.00,42
3,167,143,-16.00,4.94,43
3,167,156,-1.00,1.91,44
2,167,136,-11.00,11.86,45
0,167,001,26.41,-999.00,46
3,167,137,10.00,2.64,47
3,167,141,22.00,7.25,48
1,167,009,-35.00,0.00,49
3,167,154,9.00,6.26,50
0,167,001,-46.30,-999.00,51
2,166,037,-20.50,0.74,1
0,166,001,-14.73,-999.00,2
3,166,154,1.70,2.54,3
1,166,162,-2.00,0.00,4
3,166,147,28.00,3.43,5
3,166,132,18.16,3.68,6
2,166,125,18.10,7.26,7
0,166,001,86.80,-999.00,8
1,166,021,15.70,0.00,9
4,166,163,3.10,4.82,10
3,166,165,1.00,3.62,11
0,166,001,32.52,-999.00,12
0,166,001,-31.60,-999.00,13
0,166,001,17.07,-999.00,14
2,166,144,-11.50,2.22,15
3,166,162,-1.00,0.66,16
3,166,153,-12.00,2.64,17
2,166,145,-16.50,0.74,18
0,166,001,-19.64,-999.00,19
1,166,063,10.00,0.00,20
2,166,144,24.40,0.89,21
2,166,127,30.90,4.30,22
5,166,164,13.00,7.59,23
1,166,141,5.00,0.00,24
2,166,156,-12.40,3.85,25
3,166,163,-7.00,2.31,26
2,166,118,-13.99,12.33,27
0,166,001,-25.05,-999.00,28
3,166,121,4.00,3.03,29
