num_polls,julian_date,date_most_recent_poll,median_margin,median_std_dev,state_num
0,297,001,-25.50,-999.00,1
3,297,283,-7.00,2.97,2
4,297,294,-1.55,1.41,3
1,297,250,-15.00,0.00,4
3,297,288,24.40,3.56,5
3,297,293,11.00,1.36,6
1,297,262,16.00,0.00,7
0,297,001,86.80,-999.00,8
2,297,265,18.35,2.00,9
5,297,294,-7.70,3.41,10
3,297,292,-1.40,0.00,11
0,297,001,29.50,-999.00,12
0,297,001,-30.80,-999.00,13
2,297,279,16.60,1.48,14
3,297,274,-16.00,1.78,15
2,297,272,-5.35,2.00,16
0,297,001,-14.70,-999.00,17
0,297,001,-25.90,-999.00,18
0,297,001,-18.60,-999.00,19
3,297,294,8.00,10.38,20
3,297,295,29.60,5.04,21
3,297,290,29.00,4.45,22
4,297,294,-0.90,2.08,23
3,297,288,8.00,0.00,24
0,297,001,-16.50,-999.00,25
3,297,284,-11.80,3.85,26
3,297,282,-17.00,0.00,27
3,297,295,-20.00,0.00,28
3,297,294,-0.30,0.15,29
3,297,284,9.00,2.97,30
1,297,276,12.00,0.00,31
3,297,292,8.00,1.48,32
3,297,291,17.00,4.60,33
5,297,295,-1.90,1.63,34
2,297,274,-18.50,12.60,35
3,297,289,-7.00,0.00,36
2,297,293,-24.15,11.93,37
2,297,291,8.50,5.19,38
5,297,294,-2.10,1.78,39
3,297,264,14.00,1.48,40
2,297,291,-13.20,5.34,41
0,297,001,-26.20,-999.00,42
3,297,290,-24.80,2.08,43
3,297,295,-7.20,4.74,44
3,297,281,-16.00,1.48,45
1,297,232,40.00,0.00,46
3,297,278,6.50,0.74,47
3,297,291,20.00,2.97,48
1,297,240,-27.00,0.00,49
4,297,294,0.85,0.89,50
0,297,001,-43.40,-999.00,51
0,296,001,-25.50,-999.00,1
3,296,283,-7.00,2.97,2
5,296,294,-2.50,0.74,3
1,296,250,-15.00,0.00,4
3,296,288,24.40,3.56,5
3,296,293,11.00,1.36,6
1,296,262,16.00,0.00,7
0,296,001,86.80,-999.00,8
2,296,265,18.35,2.00,9
5,296,294,-7.70,3.41,10
5,296,292,-1.40,0.59,11
0,296,001,29.50,-999.00,12
0,296,001,-30.80,-999.00,13
2,296,279,16.60,1.48,14
3,296,274,-16.00,1.78,15
2,296,272,-5.35,2.00,16
0,296,001,-14.70,-999.00,17
0,296,001,-25.90,-999.00,18
0,296,001,-18.60,-999.00,19
3,296,294,8.00,10.38,20
3,296,295,29.60,5.04,21
3,296,290,29.00,4.45,22
5,296,294,0.00,2.67,23
3,296,288,8.00,0.00,24
0,296,001,-16.50,-999.00,25
3,296,284,-11.80,3.85,26
3,296,282,-17.00,0.00,27
3,296,295,-20.00,0.00,28
3,296,294,-0.30,0.15,29
3,296,284,9.00,2.97,30
1,296,276,12.00,0.00,31
3,296,292,8.00,1.48,32
3,296,291,17.00,4.60,33
5,296,295,-1.90,1.63,34
2,296,274,-18.50,12.60,35
3,296,289,-7.00,0.00,36
2,296,293,-24.15,11.93,37
2,296,291,8.50,5.19,38
5,296,294,-2.10,1.78,39
3,296,264,14.00,1.48,40
2,296,291,-13.20,5.34,41
0,296,001,-26.20,-999.00,42
3,296,290,-24.80,2.08,43
3,296,295,-7.20,4.74,44
3,296,281,-16.00,1.48,45
1,296,232,40.00,0.00,46
3,296,278,6.50,0.74,47
3,296,291,20.00,2.97,48
1,296,240,-27.00,0.00,49
5,296,294,0.70,1.33,50
0,296,001,-43.40,-999.00,51
0,295,001,-25.50,-999.00,1
3,295,283,-7.00,2.97,2
7,295,294,-2.50,0.74,3
1,295,250,-15.00,0.00,4
3,295,288,24.40,3.56,5
3,295,293,11.00,1.36,6
1,295,262,16.00,0.00,7
0,295,001,86.80,-999.00,8
2,295,265,18.35,2.00,9
5,295,294,-7.70,3.41,10
8,295,292,-1.20,0.74,11
0,295,001,29.50,-999.00,12
0,295,001,-30.80,-999.00,13
2,295,279,16.60,1.48,14
3,295,274,-16.00,1.78,15
2,295,272,-5.35,2.00,16
0,295,001,-14.70,-999.00,17
0,295,001,-25.90,-999.00,18
0,295,001,-18.60,-999.00,19
3,295,294,8.00,10.38,20
3,295,295,29.60,5.04,21
3,295,290,29.00,4.45,22
7,295,294,0.00,2.97,23
3,295,288,8.00,0.00,24
0,295,001,-16.50,-999.00,25
3,295,284,-11.80,3.85,26
3,295,282,-17.00,0.00,27
3,295,295,-20.00,0.00,28
6,295,294,-0.25,0.74,29
3,295,284,9.00,2.97,30
1,295,276,12.00,0.00,31
3,295,292,8.00,1.48,32
3,295,291,17.00,4.60,33
7,295,295,-1.90,1.63,34
2,295,274,-18.50,12.60,35
3,295,289,-7.00,0.00,36
2,295,293,-24.15,11.93,37
2,295,291,8.50,5.19,38
7,295,294,0.00,2.97,39
3,295,264,14.00,1.48,40
2,295,291,-13.20,5.34,41
0,295,001,-26.20,-999.00,42
3,295,290,-24.80,2.08,43
3,295,295,-7.20,4.74,44
3,295,281,-16.00,1.48,45
1,295,232,40.00,0.00,46
3,295,278,6.50,0.74,47
3,295,291,20.00,2.97,48
1,295,240,-27.00,0.00,49
7,295,294,0.70,2.52,50
0,295,001,-43.40,-999.00,51
0,294,001,-25.50,-999.00,1
3,294,283,-7.00,2.97,2
8,294,294,-2.25,1.11,3
1,294,250,-15.00,0.00,4
3,294,288,24.40,3.56,5
3,294,293,11.00,1.36,6
1,294,262,16.00,0.00,7
0,294,001,86.80,-999.00,8
2,294,265,18.35,2.00,9
6,294,294,-6.85,3.11,10
11,294,292,-1.40,2.08,11
0,294,001,29.50,-999.00,12
0,294,001,-30.80,-999.00,13
2,294,279,16.60,1.48,14
3,294,274,-16.00,1.78,15
2,294,272,-5.35,2.00,16
0,294,001,-14.70,-999.00,17
0,294,001,-25.90,-999.00,18
0,294,001,-18.60,-999.00,19
3,294,294,8.00,10.38,20
3,294,289,25.80,5.63,21
3,294,290,29.00,4.45,22
9,294,294,0.00,2.67,23
3,294,288,8.00,0.00,24
0,294,001,-16.50,-999.00,25
3,294,284,-11.80,3.85,26
3,294,282,-17.00,0.00,27
3,294,282,-20.00,0.00,28
7,294,294,-0.20,0.30,29
3,294,284,9.00,2.97,30
1,294,276,12.00,0.00,31
3,294,292,8.00,1.48,32
3,294,291,17.00,4.60,33
9,294,294,-1.00,2.52,34
2,294,274,-18.50,12.60,35
3,294,289,-7.00,0.00,36
2,294,293,-24.15,11.93,37
2,294,291,8.50,5.19,38
8,294,294,0.00,2.22,39
3,294,264,14.00,1.48,40
2,294,291,-13.20,5.34,41
0,294,001,-26.20,-999.00,42
3,294,290,-24.80,2.08,43
3,294,290,-5.00,1.48,44
3,294,281,-16.00,1.48,45
1,294,232,40.00,0.00,46
3,294,278,6.50,0.74,47
3,294,291,20.00,2.97,48
1,294,240,-27.00,0.00,49
9,294,294,0.70,2.52,50
0,294,001,-43.40,-999.00,51
0,293,001,-25.50,-999.00,1
3,293,283,-7.00,2.97,2
7,293,292,-2.00,1.48,3
1,293,250,-15.00,0.00,4
3,293,288,24.40,3.56,5
3,293,293,11.00,1.36,6
1,293,262,16.00,0.00,7
0,293,001,86.80,-999.00,8
2,293,265,18.35,2.00,9
4,293,292,-5.50,1.48,10
11,293,292,-1.40,2.08,11
0,293,001,29.50,-999.00,12
0,293,001,-30.80,-999.00,13
2,293,279,16.60,1.48,14
3,293,274,-16.00,1.78,15
2,293,272,-5.35,2.00,16
0,293,001,-14.70,-999.00,17
0,293,001,-25.90,-999.00,18
0,293,001,-18.60,-999.00,19
3,293,280,8.00,7.41,20
3,293,289,25.80,5.63,21
3,293,290,29.00,4.45,22
9,293,292,0.00,1.48,23
3,293,288,8.00,0.00,24
0,293,001,-16.50,-999.00,25
3,293,284,-11.80,3.85,26
3,293,282,-17.00,0.00,27
3,293,282,-20.00,0.00,28
7,293,292,0.00,1.19,29
3,293,284,9.00,2.97,30
1,293,276,12.00,0.00,31
3,293,292,8.00,1.48,32
3,293,291,17.00,4.60,33
8,293,292,-1.45,1.78,34
2,293,274,-18.50,12.60,35
3,293,289,-7.00,0.00,36
2,293,293,-24.15,11.93,37
2,293,291,8.50,5.19,38
7,293,293,0.00,1.48,39
3,293,264,14.00,1.48,40
2,293,291,-13.20,5.34,41
0,293,001,-26.20,-999.00,42
3,293,290,-24.80,2.08,43
3,293,290,-5.00,1.48,44
3,293,281,-16.00,1.48,45
1,293,232,40.00,0.00,46
3,293,278,6.50,0.74,47
3,293,291,20.00,2.97,48
1,293,240,-27.00,0.00,49
8,293,292,0.85,2.74,50
0,293,001,-43.40,-999.00,51
0,292,001,-25.50,-999.00,1
3,292,283,-7.00,2.97,2
7,292,292,-2.00,1.48,3
1,292,250,-15.00,0.00,4
3,292,288,24.40,3.56,5
3,292,262,11.00,1.36,6
1,292,262,16.00,0.00,7
0,292,001,86.80,-999.00,8
2,292,265,18.35,2.00,9
4,292,292,-5.50,1.48,10
11,292,292,-1.40,2.08,11
0,292,001,29.50,-999.00,12
0,292,001,-30.80,-999.00,13
2,292,279,16.60,1.48,14
3,292,274,-16.00,1.78,15
2,292,272,-5.35,2.00,16
0,292,001,-14.70,-999.00,17
0,292,001,-25.90,-999.00,18
0,292,001,-18.60,-999.00,19
3,292,280,8.00,7.41,20
3,292,289,25.80,5.63,21
3,292,290,29.00,4.45,22
9,292,292,0.00,1.48,23
3,292,288,8.00,0.00,24
0,292,001,-16.50,-999.00,25
3,292,284,-11.80,3.85,26
3,292,282,-17.00,0.00,27
3,292,282,-20.00,0.00,28
7,292,292,0.00,1.19,29
3,292,284,9.00,2.97,30
1,292,276,12.00,0.00,31
3,292,292,8.00,1.48,32
3,292,291,17.00,4.60,33
8,292,292,-1.45,1.78,34
2,292,274,-18.50,12.60,35
3,292,289,-7.00,0.00,36
1,292,244,-16.10,0.00,37
2,292,291,8.50,5.19,38
6,292,292,0.00,0.74,39
3,292,264,14.00,1.48,40
2,292,291,-13.20,5.34,41
0,292,001,-26.20,-999.00,42
3,292,290,-24.80,2.08,43
3,292,290,-5.00,1.48,44
3,292,281,-16.00,1.48,45
1,292,232,40.00,0.00,46
3,292,278,6.50,0.74,47
4,292,291,21.00,3.71,48
1,292,240,-27.00,0.00,49
8,292,292,0.85,2.74,50
0,292,001,-43.40,-999.00,51
0,291,001,-25.50,-999.00,1
3,291,283,-7.00,2.97,2
6,291,291,-1.75,1.78,3
1,291,250,-15.00,0.00,4
3,291,288,24.40,3.56,5
3,291,262,11.00,1.36,6
1,291,262,16.00,0.00,7
0,291,001,86.80,-999.00,8
2,291,265,18.35,2.00,9
3,291,291,-6.00,1.48,10
10,291,291,-1.40,1.93,11
0,291,001,29.50,-999.00,12
0,291,001,-30.80,-999.00,13
2,291,279,16.60,1.48,14
3,291,274,-16.00,1.78,15
2,291,272,-5.35,2.00,16
0,291,001,-14.70,-999.00,17
0,291,001,-25.90,-999.00,18
0,291,001,-18.60,-999.00,19
3,291,280,8.00,7.41,20
3,291,289,25.80,5.63,21
3,291,290,29.00,4.45,22
9,291,291,0.90,1.33,23
3,291,288,8.00,0.00,24
0,291,001,-16.50,-999.00,25
3,291,284,-11.80,3.85,26
3,291,282,-17.00,0.00,27
3,291,282,-20.00,0.00,28
6,291,291,0.00,0.82,29
3,291,284,9.00,2.97,30
1,291,276,12.00,0.00,31
3,291,288,8.00,2.97,32
3,291,291,17.00,4.60,33
7,291,291,-1.00,1.48,34
2,291,274,-18.50,12.60,35
3,291,289,-7.00,0.00,36
1,291,244,-16.10,0.00,37
2,291,291,8.50,5.19,38
5,291,291,0.00,1.48,39
3,291,264,14.00,1.48,40
2,291,291,-13.20,5.34,41
0,291,001,-26.20,-999.00,42
3,291,290,-24.80,2.08,43
3,291,290,-5.00,1.48,44
3,291,281,-16.00,1.48,45
1,291,232,40.00,0.00,46
3,291,278,6.50,0.74,47
4,291,291,21.00,3.71,48
1,291,240,-27.00,0.00,49
6,291,291,-0.15,1.26,50
0,291,001,-43.40,-999.00,51
0,290,001,-25.50,-999.00,1
3,290,283,-7.00,2.97,2
6,290,290,-2.50,1.11,3
1,290,250,-15.00,0.00,4
3,290,288,24.40,3.56,5
3,290,262,11.00,1.36,6
1,290,262,16.00,0.00,7
0,290,001,86.80,-999.00,8
