num_polls,julian_date,date_most_recent_poll,median_margin,median_std_dev
5,283,278,0.70,1.93
6,282,278,1.35,2.22
8,281,278,2.00,1.70
8,280,278,2.00,1.70
8,279,278,2.00,1.70
8,278,278,2.00,1.70
7,277,277,2.00,1.93
7,276,275,2.00,1.93
7,275,275,2.00,1.93
7,274,269,2.00,0.00
8,273,269,2.00,1.48
9,272,269,2.00,1.48
9,271,269,2.00,1.48
12,270,269,2.00,1.48
12,269,269,2.00,1.48
11,268,268,2.00,1.48
10,267,263,2.00,2.22
10,266,263,2.00,2.22
10,265,263,2.00,2.22
10,264,263,2.00,2.22
10,263,263,2.00,2.22
13,262,261,2.00,1.48
15,261,261,2.00,1.48
14,260,260,1.55,1.48
14,259,259,2.00,1.48
14,258,257,2.00,1.48
14,257,257,2.00,1.48
11,256,254,1.00,1.48
11,255,254,1.00,1.48
15,254,254,1.10,1.33
15,253,249,1.10,1.33
16,252,249,2.00,1.48
18,251,249,2.00,1.48
19,250,249,2.00,1.48
19,249,249,2.00,1.48
15,248,248,2.00,1.48
14,247,247,2.00,1.48
13,246,246,2.00,1.48
12,245,245,2.55,2.22
11,244,241,3.00,1.48
11,243,241,3.00,1.48
11,242,241,3.00,1.48
12,241,241,3.00,2.22
9,240,240,3.00,1.48
9,239,239,3.00,1.48
9,238,238,2.20,1.19
7,237,237,3.00,1.48
6,236,234,2.50,1.48
6,235,234,2.50,1.48
7,234,234,2.00,1.48
6,233,233,2.00,2.22
6,232,228,1.50,0.74
6,231,228,1.50,0.74
8,230,228,1.50,0.74
9,229,228,2.00,1.48
9,228,228,2.00,1.48
9,227,227,2.00,1.48
9,226,226,1.00,1.48
9,225,225,2.00,1.48
10,224,221,1.20,2.22
12,223,221,1.20,2.22
13,222,221,1.40,2.37
14,221,221,1.70,2.00
15,220,219,1.00,2.97
16,219,219,1.20,2.67
16,218,217,0.70,2.97
17,217,217,1.40,2.37
18,216,216,0.75,2.97
17,215,214,0.00,2.97
18,214,214,0.40,2.97
17,213,213,0.00,2.97
16,212,212,0.00,2.97
17,211,211,0.00,2.97
16,210,210,0.00,2.97
14,209,209,-0.30,2.22
13,208,208,0.00,2.97
12,207,207,-0.80,2.22
12,206,206,-0.80,1.93
12,205,205,-0.30,1.48
13,204,204,0.00,1.48
13,203,203,0.00,1.48
10,202,201,0.50,2.22
10,201,201,0.50,2.22
9,200,198,1.00,1.48
9,199,198,1.00,1.48
10,198,198,1.00,1.48
11,197,197,0.00,1.93
12,196,193,-0.17,1.96
15,195,193,-0.35,2.45
15,194,193,-0.35,2.45
15,193,193,-0.35,2.45
13,192,192,0.00,2.97
12,191,191,-0.17,2.97
11,190,190,-0.35,2.45
12,189,185,-0.67,3.22
12,188,185,-0.67,3.22
12,187,185,-0.67,3.22
12,186,185,-0.67,3.22
13,185,185,-0.35,3.48
12,184,184,-0.67,2.74
11,183,183,1.00,2.97
9,182,182,1.00,2.97
6,181,177,1.00,0.74
6,180,177,1.00,0.74
6,179,177,1.00,0.74
7,178,177,1.00,1.48
8,177,177,1.00,0.74
8,176,176,1.00,1.48
7,175,172,1.00,1.48
8,174,172,1.00,1.11
8,173,172,1.00,1.11
8,172,172,1.00,1.11
9,171,170,1.00,1.48
10,170,170,0.50,1.85
9,169,165,0.00,2.22
10,168,165,0.50,1.85
10,167,165,0.50,1.85
10,166,165,0.50,1.85
10,165,165,0.50,1.85
10,164,164,0.50,1.85
10,163,163,-0.05,2.68
10,162,162,0.45,2.68
9,161,161,1.00,1.63
8,160,158,0.45,2.68
8,159,158,0.45,2.68
8,158,158,0.45,2.68
9,157,157,-0.90,2.82
8,156,156,-0.45,2.89
9,155,155,0.00,2.97
8,154,151,-0.45,2.68
8,153,151,-0.45,2.68
8,152,151,-0.45,2.68
8,151,151,-0.45,2.68
10,150,150,-1.26,2.97
11,149,149,-0.90,1.63
12,148,144,-1.40,2.15
13,147,144,-0.90,2.97
13,146,144,-0.90,2.97
13,145,144,-0.90,2.97
13,144,144,-0.90,2.97
11,143,142,0.00,4.30
12,142,142,0.00,3.63
11,141,137,0.00,2.97
11,140,137,0.00,2.97
11,139,137,0.00,2.97
12,138,137,0.00,2.97
12,137,137,0.00,2.97
9,136,136,1.00,1.48
7,135,135,1.00,1.48
6,134,134,1.50,1.48
6,133,130,1.00,1.48
7,132,130,1.00,1.48
7,131,130,1.00,1.48
7,130,130,1.00,1.48
6,129,129,1.50,2.22
5,128,128,2.00,2.08
5,127,125,2.00,2.08
5,126,125,2.00,2.08
5,125,125,2.00,2.08
4,124,121,2.50,1.04
4,123,121,2.50,1.04
4,122,121,2.50,1.04
6,121,121,0.90,2.97
8,120,120,-0.60,1.62
8,119,119,-0.10,3.11
8,118,114,-0.10,3.11
9,117,114,-0.20,2.95
9,116,114,-0.20,2.95
10,115,114,-0.10,2.96
11,114,114,-0.20,2.67
11,113,108,-0.20,1.48
11,112,108,-0.20,1.48
11,111,108,-0.20,1.48
11,110,108,-0.20,1.48
11,109,108,-0.20,1.48
11,108,108,-0.20,1.48
10,107,107,0.00,1.63
8,106,106,0.30,2.82
7,105,105,0.00,1.78
6,104,104,0.00,1.33
5,103,102,0.00,0.89
6,102,102,0.30,1.33
8,101,101,0.30,2.37
8,100,100,1.30,1.48
9,099,094,2.00,1.48
9,098,094,2.00,1.48
9,097,094,2.00,1.48
9,096,094,2.00,1.48
9,095,094,2.00,1.48
10,094,094,2.00,1.48
9,093,093,2.00,1.48
9,092,089,2.00,1.48
9,091,089,2.00,1.48
10,090,089,1.70,0.74
10,089,089,1.70,0.74
10,088,088,1.20,1.93
8,087,087,1.20,1.93
8,086,086,0.00,2.97
7,085,081,1.00,2.97
8,084,081,1.00,2.22
8,083,081,1.00,2.22
8,082,081,1.00,2.22
8,081,081,1.00,2.22
8,080,079,0.00,2.52
9,079,079,1.00,1.48
9,078,077,-1.00,2.97
9,077,077,-1.00,2.97
8,076,075,-1.50,2.97
8,075,075,-1.50,2.97
8,074,074,0.00,2.97
7,073,073,1.00,2.97
7,072,072,1.00,4.45
9,071,071,1.00,4.45
8,070,067,-0.50,3.19
9,069,067,-2.00,2.97
9,068,067,-2.00,2.97
9,067,067,-2.00,2.97
10,066,066,-2.00,2.67
9,065,065,-2.00,2.37
9,064,061,-2.00,2.97
9,063,061,-2.00,2.97
9,062,061,-2.00,2.97
9,061,061,-2.00,2.97
8,060,059,-2.50,1.93
8,059,059,-2.50,1.93
10,058,058,-2.00,1.93
8,057,056,-2.50,1.48
8,056,056,-2.50,1.48
7,055,053,-2.00,2.37
7,054,053,-2.00,2.37
7,053,053,-2.00,2.37
6,052,051,-1.70,1.63
6,051,051,-1.70,1.63
6,050,045,-1.70,1.63
6,049,045,-1.70,1.63
6,048,045,-1.70,1.63
7,047,045,-1.60,1.48
8,046,045,-1.70,2.22
9,045,045,-1.60,1.48
8,044,044,-1.40,2.52
10,043,039,-1.40,2.82
12,042,039,-1.15,2.45
12,041,039,-1.15,2.45
12,040,039,-1.15,2.45
12,039,039,-1.15,2.45
11,038,037,-1.00,2.97
11,037,037,-1.00,2.97
12,036,034,-0.80,2.67
13,035,034,-1.00,2.97
13,034,034,-1.00,2.97
12,033,033,-1.15,3.19
12,032,032,-1.15,3.19
14,031,031,-1.65,3.48
12,030,030,-1.28,3.38
10,029,029,-1.28,2.97
8,028,023,-1.63,3.16
9,027,023,-2.00,3.56
9,026,023,-2.00,3.56
10,025,023,-2.15,3.26
10,024,023,-2.15,3.26
10,023,023,-2.15,3.26
9,022,022,-2.30,3.11
8,021,019,-2.15,3.26
8,020,019,-2.15,3.26
8,019,019,-2.15,3.26
8,018,018,-2.15,3.26
7,017,016,-3.00,4.45
7,016,016,-3.00,4.45
7,015,014,-3.00,2.08
7,014,014,-3.00,2.08
6,013,012,-2.65,3.19
6,012,012,-2.65,3.19
5,011,009,-3.00,5.93
5,010,009,-3.00,5.93
5,009,009,-3.00,5.93
4,008,005,-5.00,3.71
4,007,005,-5.00,3.71
4,006,005,-5.00,3.71
4,005,005,-5.00,3.71
3,004,004,-3.00,1.48
1,003,002,-2.00,0.00
1,002,002,-2.00,0.00
